player_name,date_of_birth/age,height,position,current_age_x,minutes_played,season,injury,from_date,to_date,days_out,matches_missed,injury_year,current_age_y,age_at_injury
Matej Kovar,May 17 2000 (24),196 m,Goalkeeper,24,1650.0,24/25,,,,,,,,
Matej Kovar,May 17 2000 (24),196 m,Goalkeeper,24,2780.0,23/24,muscular problems,2024-03-09,"Mar 11, 2024",3 days,1,2024.0,24.0,23.0
Matej Kovar,May 17 2000 (24),196 m,Goalkeeper,24,3450.0,22/23,,,,,,,,
Matej Kovar,May 17 2000 (24),196 m,Goalkeeper,24,2520.0,21/22,,,,,,,,
Matej Kovar,May 17 2000 (24),196 m,Goalkeeper,24,2610.0,20/21,,,,,,,,
Matej Kovar,May 17 2000 (24),196 m,Goalkeeper,24,1890.0,19/20,,,,,,,,
Matej Kovar,May 17 2000 (24),196 m,Goalkeeper,24,2700.0,18/19,,,,,,,,
Matej Kovar,May 17 2000 (24),196 m,Goalkeeper,24,900.0,17/18,,,,,,,,
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,2610.0,24/25,Ill,2024-08-27,"Sep 1, 2024",6 days,2,2024.0,35.0,34.0
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,3330.0,23/24,,,,,,,,
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,6450.0,22/23,,,,,,,,
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,4410.0,21/22,Corona virus,2022-02-05,"Feb 9, 2022",5 days,1,2022.0,35.0,32.0
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,5205.0,20/21,Achilles tendon problems,2021-02-14,"Mar 31, 2021",46 days,10,2021.0,35.0,31.0
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,4950.0,19/20,,,,,,,,
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,5400.0,18/19,Cyst on jaw,2018-07-13,"Aug 27, 2018",46 days,2,2018.0,35.0,28.0
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,3900.0,17/18,Back problems,2017-09-25,"Sep 29, 2017",5 days,-,2017.0,35.0,27.0
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,4593.0,16/17,,,,,,,,
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,4950.0,15/16,Lumbago,2016-03-07,"Mar 10, 2016",4 days,-,2016.0,35.0,26.0
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,4470.0,14/15,,,,,,,,
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,3240.0,13/14,,,,,,,,
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper,35,3795.0,12/13,,,,,,,,
Niklas Lomb,Jul 28 1993 (31),186 m,Goalkeeper,31,180.0,23/24,,,,,,,,
Niklas Lomb,Jul 28 1993 (31),186 m,Goalkeeper,31,675.0,20/21,,,,,,,,
Niklas Lomb,Jul 28 1993 (31),186 m,Goalkeeper,31,0.0,16/17,,,,,,,,
Niklas Lomb,Jul 28 1993 (31),186 m,Goalkeeper,31,1384.0,14/15,,,,,,,,
Niklas Lomb,Jul 28 1993 (31),186 m,Goalkeeper,31,3215.0,12/13,,,,,,,,
Luca Novodomsky,Apr 26 2005 (19),,Goalkeeper,19,23.0,23/24,,,,,,,,
Luca Novodomsky,Apr 26 2005 (19),,Goalkeeper,19,180.0,22/23,,,,,,,,
Luca Novodomsky,Apr 26 2005 (19),,Goalkeeper,19,2860.0,21/22,,,,,,,,
Piero Hincapié,Jan 9 2002 (23),184 m,Centre-Back,23,4158.0,23/24,,,,,,,,
Piero Hincapié,Jan 9 2002 (23),184 m,Centre-Back,23,5458.0,22/23,Foot injury,2023-06-19,"Jul 19, 2023",31 days,1,2023.0,23.0,21.0
Piero Hincapié,Jan 9 2002 (23),184 m,Centre-Back,23,3245.0,21/22,Corona virus,2021-12-29,"Jan 4, 2022",7 days,-,2021.0,23.0,19.0
Piero Hincapié,Jan 9 2002 (23),184 m,Centre-Back,23,3245.0,21/22,Muscle injury,2021-12-18,"Jan 5, 2022",19 days,1,2021.0,23.0,19.0
Piero Hincapié,Jan 9 2002 (23),184 m,Centre-Back,23,4299.0,20/21,,,,,,,,
Piero Hincapié,Jan 9 2002 (23),184 m,Centre-Back,23,1338.0,19/20,,,,,,,,
Piero Hincapié,Jan 9 2002 (23),184 m,Centre-Back,23,1080.0,18/19,,,,,,,,
Edmond Tapsoba,Feb 2 1999 (26),194 m,Centre-Back,26,3478.0,24/25,Knock,2024-11-14,"Nov 21, 2024",8 days,-,2024.0,26.0,25.0
Edmond Tapsoba,Feb 2 1999 (26),194 m,Centre-Back,26,5369.0,23/24,Hand injury,2023-11-08,"Nov 22, 2023",15 days,4,2023.0,26.0,24.0
Edmond Tapsoba,Feb 2 1999 (26),194 m,Centre-Back,26,5022.0,22/23,,,,,,,,
Edmond Tapsoba,Feb 2 1999 (26),194 m,Centre-Back,26,4095.0,21/22,Corona virus,2022-01-07,"Jan 12, 2022",6 days,2,2022.0,26.0,23.0
Edmond Tapsoba,Feb 2 1999 (26),194 m,Centre-Back,26,4095.0,21/22,Syndesmotic ligament tear,2021-07-13,"Oct 12, 2021",92 days,14,2021.0,26.0,22.0
Edmond Tapsoba,Feb 2 1999 (26),194 m,Centre-Back,26,4030.0,20/21,Corona virus,2020-11-20,"Dec 1, 2020",12 days,3,2020.0,26.0,21.0
Edmond Tapsoba,Feb 2 1999 (26),194 m,Centre-Back,26,6781.0,19/20,,,,,,,,
Edmond Tapsoba,Feb 2 1999 (26),194 m,Centre-Back,26,2790.0,18/19,,,,,,,,
Edmond Tapsoba,Feb 2 1999 (26),194 m,Centre-Back,26,0.0,17/18,,,,,,,,
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,3454.0,24/25,Ill,2025-01-14,"Jan 16, 2025",3 days,1,2025.0,29.0,29.0
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,6034.0,23/24,,,,,,,,
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,4459.0,22/23,,,,,,,,
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,4412.0,21/22,infection,2022-02-10,"Feb 14, 2022",5 days,1,2022.0,29.0,26.0
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,3674.0,20/21,,,,,,,,
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,3421.0,19/20,Back problems,2020-05-21,"May 25, 2020",5 days,1,2020.0,29.0,24.0
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,3421.0,19/20,influenza,2019-10-07,"Oct 14, 2019",8 days,2,2019.0,29.0,23.0
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,4549.0,18/19,Ill,2018-11-29,"Dec 6, 2018",8 days,2,2018.0,29.0,22.0
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,3342.0,17/18,Torn muscle fiber,2018-04-23,"May 7, 2018",15 days,2,2018.0,29.0,22.0
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,3342.0,17/18,muscular problems,2018-04-12,"Apr 16, 2018",5 days,1,2018.0,29.0,22.0
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,3342.0,17/18,influenza,2018-02-15,"Feb 26, 2018",12 days,2,2018.0,29.0,22.0
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,3342.0,17/18,Bruised back,2017-11-06,"Nov 16, 2017",11 days,4,2017.0,29.0,21.0
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back,29,3342.0,17/18,Knee injury,2017-09-04,"Sep 7, 2017",4 days,1,2017.0,29.0,21.0
