player_name,season,injury,from_date,to_date,days_out,matches_missed
Matej Kovar,23/24,muscular problems,"Mar 9, 2024","Mar 11, 2024",3 days,1
Lukas Hradecky,24/25,Ill,"Aug 27, 2024","Sep 1, 2024",6 days,2
Lukas Hradecky,21/22,Corona virus,"Feb 5, 2022","Feb 9, 2022",5 days,1
Lukas Hradecky,20/21,Achilles tendon problems,"Feb 14, 2021","Mar 31, 2021",46 days,10
Lukas Hradecky,18/19,Cyst on jaw,"Jul 13, 2018","Aug 27, 2018",46 days,2
Lukas Hradecky,17/18,Back problems,"Sep 25, 2017","Sep 29, 2017",5 days,-
Lukas Hradecky,15/16,Lumbago,"Mar 7, 2016","Mar 10, 2016",4 days,-
Niklas Lomb,21/22,Corona virus,"Jan 11, 2022","Jan 21, 2022",11 days,1
Niklas Lomb,21/22,Finger injury,"Sep 16, 2021","Oct 7, 2021",22 days,5
Niklas Lomb,13/14,Torn ankle ligaments,"Aug 7, 2013","Sep 10, 2013",35 days,4
Piero Hincapié,22/23,Foot injury,"Jun 19, 2023","Jul 19, 2023",31 days,1
Piero Hincapié,21/22,Corona virus,"Dec 29, 2021","Jan 4, 2022",7 days,-
Piero Hincapié,21/22,Muscle injury,"Dec 18, 2021","Jan 5, 2022",19 days,1
Edmond Tapsoba,24/25,Knock,"Nov 14, 2024","Nov 21, 2024",8 days,-
Edmond Tapsoba,23/24,Hand injury,"Nov 8, 2023","Nov 22, 2023",15 days,4
Edmond Tapsoba,21/22,Corona virus,"Jan 7, 2022","Jan 12, 2022",6 days,2
Edmond Tapsoba,21/22,Syndesmotic ligament tear,"Jul 13, 2021","Oct 12, 2021",92 days,14
Edmond Tapsoba,20/21,Corona virus,"Nov 20, 2020","Dec 1, 2020",12 days,3
Jonathan Tah,24/25,Ill,"Jan 14, 2025","Jan 16, 2025",3 days,1
Jonathan Tah,21/22,infection,"Feb 10, 2022","Feb 14, 2022",5 days,1
Jonathan Tah,19/20,Back problems,"May 21, 2020","May 25, 2020",5 days,1
Jonathan Tah,19/20,influenza,"Oct 7, 2019","Oct 14, 2019",8 days,2
