player_name,date_of_birth/age,height,position
Matej Kovar,May 17 2000 (24),196 m,Goalkeeper
Lukas Hradecky,Nov 24 1989 (35),192 m,Goalkeeper
Niklas Lomb,Jul 28 1993 (31),186 m,Goalkeeper
Luca Novodomsky,Apr 26 2005 (19),,Goalkeeper
Piero Hincapié,Jan 9 2002 (23),184 m,Centre-Back
Edmond Tapsoba,Feb 2 1999 (26),194 m,Centre-Back
Jonathan Tah,Feb 11 1996 (29),195 m,Centre-Back
Jeanuël Belocian,Feb 17 2005 (20),182 m,Centre-Back
Mario Hermoso,Jun 18 1995 (29),184 m,Centre-Back
Alejandro Grimaldo,Sep 20 1995 (29),171 m,Left-Back
Nordi Mukiele,Nov 1 1997 (27),187 m,Right-Back
Arthur,Mar 17 2003 (21),174 m,Right-Back
Granit Xhaka,Sep 27 1992 (32),186 m,Defensive Midfield
Robert Andrich,Sep 22 1994 (30),187 m,Defensive Midfield
Exequiel Palacios,Oct 5 1998 (26),178 m,Central Midfield
Aleix García,Jun 28 1997 (27),173 m,Central Midfield
Jeremie Frimpong,Dec 10 2000 (24),172 m,Right Midfield
Nathan Tella,Jul 5 1999 (25),173 m,Right Midfield
Florian Wirtz,May 3 2003 (21),177 m,Attacking Midfield
Emiliano Buendía,Dec 25 1996 (28),172 m,Attacking Midfield
Jonas Hofmann,Jul 14 1992 (32),176 m,Attacking Midfield
Amine Adli,May 10 2000 (24),174 m,Left Winger
Martin Terrier,Mar 4 1997 (27),184 m,Left Winger
Victor Boniface,Dec 23 2000 (24),190 m,Centre-Forward
Patrik Schick,Jan 24 1996 (29),191 m,Centre-Forward
Alejo Sarco,Jan 6 2006 (19),179 m,Centre-Forward
Alexander Nübel,Sep 30 1996 (28),193 m,Goalkeeper
Dennis Seimen,Dec 1 2005 (19),192 m,Goalkeeper
Fabian Bredlow,Mar 2 1995 (29),190 m,Goalkeeper
Stefan Drljaca,Apr 20 1999 (25),192 m,Goalkeeper
Jeff Chabot,Feb 12 1998 (27),195 m,Centre-Back
Ameen Al-Dakhil,Mar 6 2002 (22),187 m,Centre-Back
Dan-Axel Zagadou,Jun 3 1999 (25),196 m,Centre-Back
Finn Jeltsch,Jul 17 2006 (18),188 m,Centre-Back
Anrie Chase,Mar 24 2004 (20),188 m,Centre-Back
Luca Jaquez,Jun 2 2003 (21),187 m,Centre-Back
Maximilian Mittelstädt,Mar 18 1997 (27),180 m,Left-Back
Ramon Hendriks,Jul 18 2001 (23),189 m,Left-Back
Josha Vagnoman,Dec 11 2000 (24),190 m,Right-Back
Leonidas Stergiou,Mar 3 2002 (22),181 m,Right-Back
Pascal Stenzel,Mar 20 1996 (28),183 m,Right-Back
Angelo Stiller,Apr 4 2001 (23),183 m,Defensive Midfield
Atakan Karazor,Oct 13 1996 (28),191 m,Defensive Midfield
Yannik Keitel,Feb 15 2000 (25),186 m,Defensive Midfield
Nikolas Nartey,Feb 22 2000 (25),186 m,Central Midfield
Enzo Millot,Jul 17 2002 (22),175 m,Attacking Midfield
Laurin Ulrich,Jan 31 2005 (20),180 m,Attacking Midfield
Chris Führich,Jan 9 1998 (27),181 m,Left Winger
Jacob Bruun Larsen,Sep 19 1998 (26),183 m,Left Winger
Justin Diehl,Nov 27 2004 (20),174 m,Left Winger
Jarzinho Malanga,Jul 10 2006 (18),179 m,Left Winger
Jamie Leweling,Feb 26 2001 (24),185 m,Right Winger
Fabian Rieder,Feb 16 2002 (23),179 m,Right Winger
Luca Raimund,Apr 9 2005 (19),188 m,Right Winger
Nick Woltemade,Feb 14 2002 (23),198 m,Second Striker
Ermedin Demirovic,Mar 25 1998 (26),185 m,Centre-Forward
Deniz Undav,Jul 19 1996 (28),179 m,Centre-Forward
El Bilal Touré,Oct 3 2001 (23),185 m,Centre-Forward
Wahid Faghir,Jul 29 2003 (21),186 m,Centre-Forward
Mohamed Sankoh,Oct 16 2003 (21),183 m,Centre-Forward
Thomas Kastanaras,Jan 9 2003 (22),186 m,Centre-Forward
Manuel Neuer,Mar 27 1986 (38),193 m,Goalkeeper
Daniel Peretz,Jul 10 2000 (24),190 m,Goalkeeper
Jonas Urbig,Aug 8 2003 (21),189 m,Goalkeeper
Sven Ulreich,Aug 3 1988 (36),192 m,Goalkeeper
Dayot Upamecano,Oct 27 1998 (26),186 m,Centre-Back
Min-jae Kim,Nov 15 1996 (28),190 m,Centre-Back
Hiroki Ito,May 12 1999 (25),188 m,Centre-Back
Eric Dier,Jan 15 1994 (31),191 m,Centre-Back
Tarek Buchmann,Feb 28 2005 (19),188 m,Centre-Back
Alphonso Davies,Nov 2 2000 (24),185 m,Left-Back
Raphaël Guerreiro,Dec 22 1993 (31),170 m,Left-Back
Josip Stanisic,Apr 2 2000 (24),187 m,Right-Back
Sacha Boey,Sep 13 2000 (24),178 m,Right-Back
Joshua Kimmich,Feb 8 1995 (30),177 m,Defensive Midfield
Aleksandar Pavlovic,May 3 2004 (20),188 m,Defensive Midfield
João Palhinha,Jul 9 1995 (29),190 m,Defensive Midfield
Konrad Laimer,May 27 1997 (27),180 m,Central Midfield
Leon Goretzka,Feb 6 1995 (30),189 m,Central Midfield
Jamal Musiala,Feb 26 2003 (22),184 m,Attacking Midfield
Serge Gnabry,Jul 14 1995 (29),176 m,Left Winger
Kingsley Coman,Jun 13 1996 (28),181 m,Left Winger
Michael Olise,Dec 12 2001 (23),184 m,Right Winger
Leroy Sané,Jan 11 1996 (29),183 m,Right Winger
Thomas Müller,Sep 13 1989 (35),185 m,Second Striker
Gabriel Vidovic,Dec 1 2003 (21),180 m,Second Striker
Harry Kane,Jul 28 1993 (31),188 m,Centre-Forward
Maarten Vandevoordt,Feb 26 2002 (23),192 m,Goalkeeper
Péter Gulácsi,May 6 1990 (34),193 m,Goalkeeper
Leopold Zingerle,Apr 10 1994 (30),182 m,Goalkeeper
Castello Lukeba,Dec 17 2002 (22),184 m,Centre-Back
El Chadaille Bitshiabu,May 16 2005 (19),196 m,Centre-Back
Willi Orbán,Nov 3 1992 (32),186 m,Centre-Back
Lukas Klostermann,Jun 3 1996 (28),189 m,Centre-Back
David Raum,Apr 22 1998 (26),181 m,Left-Back
Lutsharel Geertruida,Jul 18 2000 (24),184 m,Right-Back
Benjamin Henrichs,Feb 23 1997 (28),185 m,Right-Back
Kosta Nedeljkovic,Dec 16 2005 (19),184 m,Right-Back
Ridle Baku,Apr 8 1998 (26),176 m,Right-Back
Arthur Vermeeren,Feb 7 2005 (20),180 m,Defensive Midfield
Xaver Schlager,Sep 28 1997 (27),174 m,Central Midfield
Amadou Haidara,Jan 31 1998 (27),178 m,Central Midfield
Nicolas Seiwald,May 4 2001 (23),180 m,Central Midfield
Assan Ouédraogo,May 9 2006 (18),191 m,Central Midfield
Kevin Kampl,Oct 9 1990 (34),178 m,Central Midfield
Xavi Simons,Apr 21 2003 (21),179 m,Attacking Midfield
Christoph Baumgartner,Aug 1 1999 (25),180 m,Attacking Midfield
Viggo Gebel,Nov 22 2007 (17),175 m,Attacking Midfield
Antonio Nusa,Apr 17 2005 (19),183 m,Left Winger
Tidiam Gomis,Aug 8 2006 (18),183 m,Left Winger
Loïs Openda,Feb 16 2000 (25),177 m,Centre-Forward
Benjamin Sesko,May 31 2003 (21),195 m,Centre-Forward
Yussuf Poulsen,Jun 15 1994 (30),192 m,Centre-Forward
Gregor Kobel,Dec 6 1997 (27),196 m,Goalkeeper
Marcel Lotka,May 25 2001 (23),190 m,Goalkeeper
Alexander Meyer,Apr 13 1991 (33),195 m,Goalkeeper
Silas Ostrzinski,Nov 19 2003 (21),198 m,Goalkeeper
Nico Schlotterbeck,Dec 1 1999 (25),191 m,Centre-Back
Waldemar Anton,Jul 20 1996 (28),189 m,Centre-Back
Niklas Süle,Sep 3 1995 (29),195 m,Centre-Back
Filippo Mané,Mar 8 2005 (19),188 m,Centre-Back
Ramy Bensebaini,Apr 16 1995 (29),187 m,Left-Back
Daniel Svensson,Feb 12 2002 (23),183 m,Left-Back
Almugera Kabar,Jun 6 2006 (18),186 m,Left-Back
Yan Couto,Jun 3 2002 (22),168 m,Right-Back
Julian Ryerson,Nov 17 1997 (27),183 m,Right-Back
Salih Özcan,Jan 11 1998 (27),183 m,Defensive Midfield
Emre Can,Jan 12 1994 (31),186 m,Defensive Midfield
Felix Nmecha,Oct 10 2000 (24),190 m,Central Midfield
Carney Chukwuemeka,Oct 20 2003 (21),188 m,Central Midfield
Marcel Sabitzer,Mar 17 1994 (30),178 m,Central Midfield
Pascal Groß,Jun 15 1991 (33),181 m,Central Midfield
Kjell Wätjen,Feb 16 2006 (19),184 m,Central Midfield
Julian Brandt,May 2 1996 (28),185 m,Attacking Midfield
Giovanni Reyna,Nov 13 2002 (22),185 m,Attacking Midfield
Jamie Gittens,Aug 8 2004 (20),178 m,Left Winger
Julien Duranville,May 5 2006 (18),173 m,Left Winger
Karim Adeyemi,Jan 18 2002 (23),180 m,Right Winger
Cole Campbell,Feb 20 2006 (19),170 m,Right Winger
