player_name,minutes_played,season
Matej Kovar,1650.0,24/25
Matej Kovar,2780.0,23/24
Matej Kovar,3450.0,22/23
Matej Kovar,2520.0,21/22
Matej Kovar,2610.0,20/21
Matej Kovar,1890.0,19/20
Matej Kovar,2700.0,18/19
Matej Kovar,900.0,17/18
,,
Lukas Hradecky,2610.0,24/25
Lukas Hradecky,3330.0,23/24
Lukas Hradecky,6450.0,22/23
Lukas Hradecky,4410.0,21/22
Lukas Hradecky,5205.0,20/21
Lukas Hradecky,4950.0,19/20
Lukas Hradecky,5400.0,18/19
Lukas Hradecky,3900.0,17/18
Lukas Hradecky,4593.0,16/17
Lukas Hradecky,4950.0,15/16
Lukas Hradecky,4470.0,14/15
Lukas Hradecky,3240.0,13/14
Lukas Hradecky,3795.0,12/13
Niklas Lomb,180.0,23/24
Niklas Lomb,675.0,20/21
Niklas Lomb,0.0,16/17
Niklas Lomb,1384.0,14/15
Niklas Lomb,3215.0,12/13
Luca Novodomsky,23.0,23/24
Luca Novodomsky,180.0,22/23
Luca Novodomsky,2860.0,21/22
Piero Hincapié,4158.0,23/24
Piero Hincapié,5458.0,22/23
Piero Hincapié,3245.0,21/22
Piero Hincapié,4299.0,20/21
Piero Hincapié,1338.0,19/20
Piero Hincapié,1080.0,18/19
Edmond Tapsoba,3478.0,24/25
Edmond Tapsoba,5369.0,23/24
Edmond Tapsoba,5022.0,22/23
Edmond Tapsoba,4095.0,21/22
Edmond Tapsoba,4030.0,20/21
Edmond Tapsoba,6781.0,19/20
Edmond Tapsoba,2790.0,18/19
Edmond Tapsoba,0.0,17/18
Jonathan Tah,3454.0,24/25
Jonathan Tah,6034.0,23/24
Jonathan Tah,4459.0,22/23
Jonathan Tah,4412.0,21/22
Jonathan Tah,3674.0,20/21
Jonathan Tah,3421.0,19/20
Jonathan Tah,4549.0,18/19
Jonathan Tah,3342.0,17/18
Jonathan Tah,2374.0,16/17
Jonathan Tah,4905.0,15/16
Jonathan Tah,2845.0,14/15
Jonathan Tah,2933.0,13/14
Jonathan Tah,5249.0,12/13
Jeanuël Belocian,2591.0,23/24
Jeanuël Belocian,2492.0,22/23
Jeanuël Belocian,4348.0,21/22
Mario Hermoso,1040.0,24/25
Mario Hermoso,3472.0,18/19
Mario Hermoso,5902.0,16/17
Mario Hermoso,2676.0,15/16
Mario Hermoso,564.0,13/14
Alejandro Grimaldo,3095.0,24/25
Alejandro Grimaldo,5208.0,23/24
Alejandro Grimaldo,5271.0,22/23
Alejandro Grimaldo,4373.0,21/22
Alejandro Grimaldo,4036.0,20/21
Alejandro Grimaldo,3921.0,19/20
Alejandro Grimaldo,5624.0,18/19
Alejandro Grimaldo,3265.0,17/18
Alejandro Grimaldo,1973.0,16/17
Alejandro Grimaldo,3538.0,15/16
Alejandro Grimaldo,925.0,13/14
Alejandro Grimaldo,2458.0,12/13
Nordi Mukiele,1116.0,24/25
Nordi Mukiele,2487.0,21/22
Nordi Mukiele,2625.0,20/21
Nordi Mukiele,2596.0,18/19
Nordi Mukiele,3545.0,16/17
Nordi Mukiele,1542.0,15/16
Nordi Mukiele,91.0,14/15
Arthur,280.0,23/24
Arthur,2352.0,22/23
Arthur,807.0,21/22
Granit Xhaka,3512.0,24/25
Granit Xhaka,5814.0,23/24
Granit Xhaka,5780.0,22/23
Granit Xhaka,2969.0,21/22
Granit Xhaka,5835.0,20/21
Granit Xhaka,3824.0,19/20
Granit Xhaka,5645.0,18/19
Granit Xhaka,5435.0,17/18
Granit Xhaka,4352.0,16/17
Granit Xhaka,3815.0,15/16
Granit Xhaka,5208.0,14/15
Granit Xhaka,2886.0,13/14
Granit Xhaka,3535.0,12/13
Robert Andrich,2072.0,24/25
Robert Andrich,4312.0,23/24
Robert Andrich,4020.0,22/23
Robert Andrich,2650.0,21/22
Robert Andrich,2874.0,17/18
Robert Andrich,3360.0,16/17
Robert Andrich,634.0,15/16
Robert Andrich,1223.0,13/14
Robert Andrich,2229.0,12/13
Exequiel Palacios,1329.0,24/25
Exequiel Palacios,3345.0,23/24
Exequiel Palacios,2989.0,22/23
Exequiel Palacios,2017.0,21/22
Exequiel Palacios,1347.0,20/21
Exequiel Palacios,2812.0,19/20
Exequiel Palacios,4351.0,18/19
Exequiel Palacios,2968.0,17/18
Exequiel Palacios,612.0,16/17
Exequiel Palacios,52.0,15/16
Exequiel Palacios,90.0,14/15
Aleix García,1422.0,24/25
Aleix García,3393.0,23/24
Aleix García,2506.0,22/23
Aleix García,3923.0,21/22
Aleix García,912.0,20/21
Aleix García,2049.0,19/20
Aleix García,1023.0,17/18
Aleix García,728.0,16/17
Aleix García,1358.0,15/16
Aleix García,924.0,14/15
Aleix García,375.0,13/14
Jeremie Frimpong,2566.0,24/25
Jeremie Frimpong,4230.0,23/24
Jeremie Frimpong,4744.0,22/23
Jeremie Frimpong,3668.0,21/22
Jeremie Frimpong,5222.0,20/21
Jeremie Frimpong,3685.0,19/20
Jeremie Frimpong,2579.0,18/19
Jeremie Frimpong,1394.0,17/18
Jeremie Frimpong,1635.0,16/17
Nathan Tella,2356.0,23/24
Nathan Tella,2844.0,22/23
Nathan Tella,1240.0,21/22
Nathan Tella,42.0,19/20
Nathan Tella,1015.0,18/19
Nathan Tella,1101.0,16/17
Florian Wirtz,3142.0,24/25
Florian Wirtz,5075.0,23/24
Florian Wirtz,2541.0,22/23
Florian Wirtz,2941.0,21/22
Florian Wirtz,3568.0,20/21
Florian Wirtz,2948.0,19/20
Florian Wirtz,2435.0,18/19
Emiliano Buendía,584.0,24/25
Emiliano Buendía,3393.0,20/21
Emiliano Buendía,3053.0,18/19
Emiliano Buendía,611.0,16/17
Emiliano Buendía,1129.0,15/16
Emiliano Buendía,4627.0,14/15
Jonas Hofmann,3088.0,23/24
Jonas Hofmann,3284.0,22/23
Jonas Hofmann,2256.0,21/22
Jonas Hofmann,2994.0,20/21
Jonas Hofmann,2124.0,19/20
Jonas Hofmann,2262.0,16/17
Jonas Hofmann,1363.0,15/16
Jonas Hofmann,1517.0,13/14
Jonas Hofmann,3067.0,12/13
Amine Adli,626.0,24/25
Amine Adli,3660.0,23/24
Amine Adli,2371.0,22/23
Amine Adli,2822.0,21/22
Amine Adli,3042.0,20/21
Amine Adli,1641.0,19/20
Amine Adli,2867.0,18/19
Martin Terrier,2732.0,23/24
Martin Terrier,2109.0,22/23
Martin Terrier,3901.0,21/22
Martin Terrier,2324.0,18/19
Martin Terrier,2295.0,17/18
Martin Terrier,2450.0,16/17
Victor Boniface,1403.0,24/25
Victor Boniface,2755.0,23/24
Victor Boniface,5027.0,22/23
Victor Boniface,1103.0,21/22
Victor Boniface,446.0,20/21
Victor Boniface,367.0,18/19
Patrik Schick,1631.0,24/25
Patrik Schick,2209.0,23/24
Patrik Schick,1765.0,22/23
Patrik Schick,2289.0,21/22
Patrik Schick,3453.0,20/21
Patrik Schick,1655.0,19/20
Patrik Schick,2594.0,18/19
Patrik Schick,1562.0,17/18
Patrik Schick,2084.0,16/17
Patrik Schick,2989.0,15/16
Patrik Schick,514.0,14/15
Patrik Schick,677.0,13/14
Alejo Sarco,1180.0,23/24
Alejo Sarco,1023.0,22/23
Alexander Nübel,3150.0,24/25
Alexander Nübel,3060.0,23/24
Alexander Nübel,5340.0,22/23
Alexander Nübel,5370.0,21/22
Alexander Nübel,360.0,20/21
Alexander Nübel,2616.0,19/20
Alexander Nübel,2589.0,18/19
Alexander Nübel,990.0,17/18
Alexander Nübel,900.0,16/17
Alexander Nübel,1171.0,15/16
Alexander Nübel,1080.0,14/15
Dennis Seimen,2205.0,24/25
Dennis Seimen,1980.0,23/24
Dennis Seimen,3720.0,22/23
Dennis Seimen,3900.0,21/22
Dennis Seimen,725.0,20/21
Fabian Bredlow,1710.0,22/23
Fabian Bredlow,3180.0,16/17
Fabian Bredlow,3735.0,15/16
Fabian Bredlow,2622.0,14/15
Fabian Bredlow,270.0,13/14
Fabian Bredlow,180.0,12/13
Stefan Drljaca,180.0,24/25
Stefan Drljaca,1350.0,21/22
Stefan Drljaca,4770.0,17/18
Jeff Chabot,1966.0,22/23
Jeff Chabot,844.0,19/20
Jeff Chabot,2347.0,18/19
Jeff Chabot,2031.0,17/18
Jeff Chabot,4286.0,16/17
Jeff Chabot,1956.0,15/16
Jeff Chabot,4220.0,14/15
Jeff Chabot,1062.0,13/14
Ameen Al-Dakhil,609.0,24/25
Ameen Al-Dakhil,1321.0,23/24
Ameen Al-Dakhil,2932.0,22/23
Ameen Al-Dakhil,1505.0,21/22
Dan-Axel Zagadou,28.0,24/25
Dan-Axel Zagadou,1445.0,21/22
Dan-Axel Zagadou,383.0,20/21
Dan-Axel Zagadou,1883.0,19/20
Dan-Axel Zagadou,2273.0,18/19
Dan-Axel Zagadou,1267.0,17/18
Dan-Axel Zagadou,2370.0,16/17
Dan-Axel Zagadou,775.0,15/16
Finn Jeltsch,2249.0,24/25
Finn Jeltsch,3315.0,23/24
Finn Jeltsch,5185.0,22/23
Finn Jeltsch,2660.0,21/22
Anrie Chase,1776.0,24/25
Anrie Chase,2061.0,23/24
Anrie Chase,760.0,22/23
Luca Jaquez,2968.0,23/24
Luca Jaquez,1464.0,22/23
Luca Jaquez,3261.0,21/22
Luca Jaquez,3570.0,20/21
Luca Jaquez,1634.0,19/20
Luca Jaquez,290.0,18/19
Maximilian Mittelstädt,2730.0,24/25
Maximilian Mittelstädt,2880.0,23/24
Maximilian Mittelstädt,844.0,22/23
Maximilian Mittelstädt,2413.0,18/19
Maximilian Mittelstädt,1829.0,17/18
Maximilian Mittelstädt,1635.0,16/17
Maximilian Mittelstädt,2538.0,15/16
Maximilian Mittelstädt,4379.0,14/15
Maximilian Mittelstädt,4696.0,13/14
Ramon Hendriks,1040.0,24/25
Ramon Hendriks,413.0,22/23
Ramon Hendriks,1635.0,21/22
Ramon Hendriks,2112.0,20/21
Ramon Hendriks,4100.0,19/20
Ramon Hendriks,4123.0,18/19
Ramon Hendriks,5169.0,17/18
Josha Vagnoman,2114.0,24/25
Josha Vagnoman,2158.0,22/23
Josha Vagnoman,1225.0,21/22
Josha Vagnoman,2146.0,20/21
Josha Vagnoman,1812.0,19/20
Josha Vagnoman,1173.0,18/19
Josha Vagnoman,2580.0,17/18
Josha Vagnoman,4746.0,16/17
Leonidas Stergiou,681.0,24/25
Leonidas Stergiou,1207.0,23/24
Leonidas Stergiou,3660.0,22/23
Leonidas Stergiou,3285.0,21/22
Leonidas Stergiou,3411.0,20/21
Leonidas Stergiou,3560.0,19/20
Leonidas Stergiou,3002.0,18/19
Pascal Stenzel,1867.0,18/19
Pascal Stenzel,2723.0,17/18
Pascal Stenzel,2356.0,15/16
Pascal Stenzel,2398.0,14/15
Pascal Stenzel,3589.0,13/14
Pascal Stenzel,3724.0,12/13
