player_name,date_of_birth/age,height,position,current_age_x,minutes_played,season,injury,from_date,to_date,days_out,matches_missed,injury_year,current_age_y,age_at_injury
Aynsley Pears,Apr 23 1998 (26),185 m,Goalkeeper,26,2612.0,23/24,Foot injury,2023-10-02,"Jan 12, 2024",103 days,19,2023.0,26,24
Aynsley Pears,Apr 23 1998 (26),185 m,Goalkeeper,26,394.0,21/22,,,,,,,,
Aynsley Pears,Apr 23 1998 (26),185 m,Goalkeeper,26,2250.0,19/20,,,,,,,,
Aynsley Pears,Apr 23 1998 (26),185 m,Goalkeeper,26,2430.0,17/18,,,,,,,,
Aynsley Pears,Apr 23 1998 (26),185 m,Goalkeeper,26,1530.0,16/17,,,,,,,,
Balázs Tóth,Sep 4 1997 (27),189 m,Goalkeeper,27,1980.0,24/25,,,,,,,,
Balázs Tóth,Sep 4 1997 (27),189 m,Goalkeeper,27,5490.0,23/24,,,,,,,,
Balázs Tóth,Sep 4 1997 (27),189 m,Goalkeeper,27,3600.0,22/23,,,,,,,,
Balázs Tóth,Sep 4 1997 (27),189 m,Goalkeeper,27,3780.0,21/22,,,,,,,,
Balázs Tóth,Sep 4 1997 (27),189 m,Goalkeeper,27,5745.0,20/21,,,,,,,,
Balázs Tóth,Sep 4 1997 (27),189 m,Goalkeeper,27,1900.0,19/20,,,,,,,,
Balázs Tóth,Sep 4 1997 (27),189 m,Goalkeeper,27,4410.0,18/19,,,,,,,,
Balázs Tóth,Sep 4 1997 (27),189 m,Goalkeeper,27,0.0,17/18,,,,,,,,
Balázs Tóth,Sep 4 1997 (27),189 m,Goalkeeper,27,180.0,16/17,,,,,,,,
Balázs Tóth,Sep 4 1997 (27),189 m,Goalkeeper,27,360.0,15/16,,,,,,,,
Scott Wharton,Oct 3 1997 (27),182 m,Centre-Back,27,2912.0,21/22,,,,,,,,
Scott Wharton,Oct 3 1997 (27),182 m,Centre-Back,27,488.0,20/21,,,,,,,,
Scott Wharton,Oct 3 1997 (27),182 m,Centre-Back,27,3718.0,19/20,,,,,,,,
Scott Wharton,Oct 3 1997 (27),182 m,Centre-Back,27,1862.0,17/18,,,,,,,,
Scott Wharton,Oct 3 1997 (27),182 m,Centre-Back,27,1877.0,16/17,,,,,,,,
Scott Wharton,Oct 3 1997 (27),182 m,Centre-Back,27,2384.0,15/16,,,,,,,,
Hayden Carter,Dec 17 1999 (25),188 m,Centre-Back,25,1429.0,24/25,Knee surgery,2024-10-23,,157 days,30,2024.0,25,24
Hayden Carter,Dec 17 1999 (25),188 m,Centre-Back,25,2745.0,21/22,,,,,,,,
Hayden Carter,Dec 17 1999 (25),188 m,Centre-Back,25,2444.0,20/21,,,,,,,,
Hayden Carter,Dec 17 1999 (25),188 m,Centre-Back,25,990.0,19/20,,,,,,,,
Hayden Carter,Dec 17 1999 (25),188 m,Centre-Back,25,1005.0,16/17,,,,,,,,
Dion Sanderson,Dec 15 1999 (25),188 m,Centre-Back,25,2021.0,20/21,,,,,,,,
Dion Sanderson,Dec 15 1999 (25),188 m,Centre-Back,25,2281.0,19/20,,,,,,,,
Dion Sanderson,Dec 15 1999 (25),188 m,Centre-Back,25,806.0,18/19,,,,,,,,
Dion Sanderson,Dec 15 1999 (25),188 m,Centre-Back,25,3161.0,16/17,,,,,,,,
Dominic Hyam,Dec 20 1995 (29),188 m,Centre-Back,29,3779.0,22/23,,,,,,,,
Dominic Hyam,Dec 20 1995 (29),188 m,Centre-Back,29,3966.0,21/22,,,,,,,,
Dominic Hyam,Dec 20 1995 (29),188 m,Centre-Back,29,765.0,16/17,,,,,,,,
Dominic Hyam,Dec 20 1995 (29),188 m,Centre-Back,29,2655.0,15/16,,,,,,,,
Dominic Hyam,Dec 20 1995 (29),188 m,Centre-Back,29,751.0,14/15,,,,,,,,
Dominic Hyam,Dec 20 1995 (29),188 m,Centre-Back,29,399.0,13/14,,,,,,,,
Danny Batth,Sep 21 1990 (34),191 m,Centre-Back,34,3953.0,19/20,,,,,,,,
Danny Batth,Sep 21 1990 (34),191 m,Centre-Back,34,2522.0,18/19,,,,,,,,
Danny Batth,Sep 21 1990 (34),191 m,Centre-Back,34,3661.0,15/16,,,,,,,,
Danny Batth,Sep 21 1990 (34),191 m,Centre-Back,34,937.0,12/13,,,,,,,,
Harry Pickering,Dec 29 1998 (26),173 m,Left-Back,26,1177.0,24/25,,,,,,,,
Harry Pickering,Dec 29 1998 (26),173 m,Left-Back,26,2841.0,21/22,,,,,,,,
Harry Pickering,Dec 29 1998 (26),173 m,Left-Back,26,0.0,16/17,,,,,,,,
Owen Beck,Aug 9 2002 (22),177 m,Left-Back,22,2040.0,24/25,,,,,,,,
Owen Beck,Aug 9 2002 (22),177 m,Left-Back,22,5337.0,23/24,Groin problems,2024-03-12,"Apr 14, 2024",34 days,6,2024.0,22,21
Owen Beck,Aug 9 2002 (22),177 m,Left-Back,22,1515.0,22/23,,,,,,,,
Owen Beck,Aug 9 2002 (22),177 m,Left-Back,22,2754.0,21/22,,,,,,,,
Owen Beck,Aug 9 2002 (22),177 m,Left-Back,22,1726.0,20/21,,,,,,,,
Owen Beck,Aug 9 2002 (22),177 m,Left-Back,22,929.0,19/20,,,,,,,,
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,1651.0,24/25,,,,,,,,
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,6780.0,23/24,,,,,,,,
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,4056.0,22/23,Fitness,2023-05-18,"May 25, 2023",8 days,1,2023.0,28,26
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,4056.0,22/23,Muscle injury,2023-05-18,"May 23, 2023",6 days,1,2023.0,28,26
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,2473.0,21/22,Appendicitis,2022-01-14,"Jul 14, 2022",182 days,18,2022.0,28,25
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,2473.0,21/22,Corona virus,2021-12-17,"Dec 31, 2021",15 days,1,2021.0,28,24
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,2473.0,21/22,Ill,2021-03-03,"Mar 15, 2021",13 days,2,2021.0,28,24
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,2473.0,21/22,Corona virus,2021-01-28,"Feb 5, 2021",9 days,2,2021.0,28,24
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,2275.0,20/21,Hamstring injury,2021-05-10,"Aug 28, 2021",111 days,6,2021.0,28,24
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,2275.0,20/21,Muscle injury,2020-09-23,"Nov 2, 2020",41 days,7,2020.0,28,23
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,721.0,18/19,Ligament injury,2018-11-21,"Dec 2, 2018",12 days,3,2018.0,28,21
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,3468.0,17/18,Muscle injury,2017-08-18,"Sep 8, 2017",22 days,4,2017.0,28,20
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,3655.0,16/17,,,,,,,,
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,3223.0,15/16,,,,,,,,
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back,28,1189.0,14/15,,,,,,,,
Callum Brittain,Mar 12 1998 (27),179 m,Right-Back,27,3194.0,21/22,,,,,,,,
Callum Brittain,Mar 12 1998 (27),179 m,Right-Back,27,2901.0,17/18,,,,,,,,
Callum Brittain,Mar 12 1998 (27),179 m,Right-Back,27,1080.0,15/16,,,,,,,,
Joe Rankin-Costello,Jul 26 1999 (25),183 m,Right-Back,25,895.0,21/22,,,,,,,,
Joe Rankin-Costello,Jul 26 1999 (25),183 m,Right-Back,25,1354.0,20/21,Metatarsal fracture,2021-04-05,"Aug 1, 2021",119 days,7,2021.0,25,21
Joe Rankin-Costello,Jul 26 1999 (25),183 m,Right-Back,25,1354.0,20/21,Hamstring injury,2020-11-24,"Feb 3, 2021",72 days,15,2020.0,25,20
Joe Rankin-Costello,Jul 26 1999 (25),183 m,Right-Back,25,1354.0,20/21,Hamstring injury,2020-09-27,"Oct 19, 2020",23 days,2,2020.0,25,20
Joe Rankin-Costello,Jul 26 1999 (25),183 m,Right-Back,25,1211.0,19/20,Hamstring injury,2020-06-21,"Jul 5, 2020",15 days,3,2020.0,25,20
Joe Rankin-Costello,Jul 26 1999 (25),183 m,Right-Back,25,1211.0,19/20,Hamstring injury,2020-02-09,"Feb 24, 2020",16 days,3,2020.0,25,20
Joe Rankin-Costello,Jul 26 1999 (25),183 m,Right-Back,25,1190.0,17/18,,,,,,,,
Joe Rankin-Costello,Jul 26 1999 (25),183 m,Right-Back,25,2103.0,16/17,,,,,,,,
Joe Rankin-Costello,Jul 26 1999 (25),183 m,Right-Back,25,1190.0,15/16,,,,,,,,
Lewis Travis,Oct 16 1997 (27),183 m,Defensive Midfield,27,1995.0,17/18,,,,,,,,
Lewis Travis,Oct 16 1997 (27),183 m,Defensive Midfield,27,1644.0,16/17,,,,,,,,
Lewis Travis,Oct 16 1997 (27),183 m,Defensive Midfield,27,540.0,15/16,,,,,,,,
John Buckley,Oct 13 1999 (25),173 m,Central Midfield,25,1872.0,18/19,,,,,,,,
John Buckley,Oct 13 1999 (25),173 m,Central Midfield,25,1765.0,16/17,,,,,,,,
Sondre Tronstad,Aug 26 1995 (29),174 m,Central Midfield,29,5677.0,21/22,unknown injury,2022-01-17,"Feb 3, 2022",18 days,2,2022.0,29,26
Sondre Tronstad,Aug 26 1995 (29),174 m,Central Midfield,29,2152.0,20/21,Hamstring injury,2021-02-08,"Feb 13, 2021",6 days,1,2021.0,29,25
