player_name,season,injury,from_date,to_date,days_out,matches_missed
Aynsley Pears,23/24,Foot injury,"Oct 2, 2023","Jan 12, 2024",103 days,19
Hayden Carter,24/25,Knee surgery,"Oct 23, 2024",,157 days,30
Dominic Hyam,20/21,concussion,"Nov 3, 2020","Nov 9, 2020",7 days,2
Dominic Hyam,20/21,Rest,"Sep 14, 2020","Sep 16, 2020",3 days,1
Owen Beck,23/24,Groin problems,"Mar 12, 2024","Apr 14, 2024",34 days,6
Yuri Ribeiro,22/23,Fitness,"May 18, 2023","May 25, 2023",8 days,1
Yuri Ribeiro,22/23,Muscle injury,"May 18, 2023","May 23, 2023",6 days,1
Yuri Ribeiro,21/22,Appendicitis,"Jan 14, 2022","Jul 14, 2022",182 days,18
Yuri Ribeiro,21/22,Corona virus,"Dec 17, 2021","Dec 31, 2021",15 days,1
Yuri Ribeiro,20/21,Hamstring injury,"May 10, 2021","Aug 28, 2021",111 days,6
Yuri Ribeiro,21/22,Ill,"Mar 3, 2021","Mar 15, 2021",13 days,2
Yuri Ribeiro,21/22,Corona virus,"Jan 28, 2021","Feb 5, 2021",9 days,2
Yuri Ribeiro,20/21,Muscle injury,"Sep 23, 2020","Nov 2, 2020",41 days,7
Yuri Ribeiro,19/20,Hamstring injury,"Nov 20, 2019","Jan 8, 2020",50 days,11
Yuri Ribeiro,18/19,Ligament injury,"Nov 21, 2018","Dec 2, 2018",12 days,3
Yuri Ribeiro,17/18,Muscle injury,"Aug 18, 2017","Sep 8, 2017",22 days,4
Callum Brittain,24/25,Knee injury,"Sep 1, 2024","Oct 18, 2024",48 days,5
Callum Brittain,24/25,Knee problems,"Aug 25, 2024","Aug 30, 2024",6 days,1
Callum Brittain,20/21,Hamstring injury,"Nov 1, 2020","Nov 22, 2020",22 days,3
Joe Rankin-Costello,20/21,Metatarsal fracture,"Apr 5, 2021","Aug 1, 2021",119 days,7
Joe Rankin-Costello,20/21,Hamstring injury,"Nov 24, 2020","Feb 3, 2021",72 days,15
Joe Rankin-Costello,20/21,Hamstring injury,"Sep 27, 2020","Oct 19, 2020",23 days,2
Joe Rankin-Costello,19/20,Hamstring injury,"Jun 21, 2020","Jul 5, 2020",15 days,3
Joe Rankin-Costello,19/20,Hamstring injury,"Feb 9, 2020","Feb 24, 2020",16 days,3
Lewis Travis,20/21,Ligament injury,"Sep 16, 2020","Jan 16, 2021",123 days,24
John Buckley,23/24,Shoulder injury,"Dec 17, 2023","Feb 19, 2024",65 days,12
Sondre Tronstad,22/23,Hamstring injury,"Jan 26, 2023","Feb 18, 2023",24 days,4
Sondre Tronstad,21/22,unknown injury,"Jan 17, 2022","Feb 3, 2022",18 days,2
Sondre Tronstad,20/21,Hamstring injury,"Feb 8, 2021","Feb 13, 2021",6 days,1
Sondre Tronstad,20/21,Hamstring injury,"Dec 23, 2020","Jan 28, 2021",37 days,7
Adam Forshaw,21/22,Broken kneecap,"Apr 22, 2022","Jun 30, 2022",70 days,6
Adam Forshaw,19/20,Hip injury,"Sep 30, 2019","Apr 12, 2021",561 days,71
Adam Forshaw,13/14,Ankle injury,"Apr 22, 2014","Sep 1, 2014",133 days,9
Todd Cantwell,23/24,Hamstring injury,"Feb 23, 2024","Mar 13, 2024",20 days,5
Todd Cantwell,23/24,Knee injury,"Sep 11, 2023","Oct 2, 2023",22 days,5
Todd Cantwell,20/21,Hip injury,"Nov 1, 2020","Dec 6, 2020",36 days,9
Todd Cantwell,20/21,Knee bruise,"Sep 20, 2020","Oct 18, 2020",29 days,5
Todd Cantwell,19/20,Hamstring injury,"Jan 24, 2020","Jan 31, 2020",8 days,1
Todd Cantwell,19/20,Ankle injury,"Nov 24, 2019","Nov 30, 2019",7 days,-
Todd Cantwell,19/20,Muscle strain,"Sep 29, 2019","Oct 4, 2019",6 days,-
Andreas Weimann,24/25,Knee surgery,"Mar 7, 2025",,22 days,3
Andreas Weimann,23/24,Heel injury,"Sep 1, 2023","Sep 20, 2023",20 days,5
Andreas Weimann,22/23,Knock,"Nov 19, 2022","Dec 10, 2022",22 days,2
Andreas Weimann,20/21,Cruciate ligament tear,"Oct 25, 2020","Jul 25, 2021",274 days,54
Andreas Weimann,20/21,Rest,"Sep 23, 2020","Sep 25, 2020",3 days,1
Andreas Weimann,13/14,Hamstring injury,"Nov 3, 2013","Nov 24, 2013",22 days,9
Andreas Weimann,12/13,Toe injury,"Sep 8, 2012","Sep 9, 2012",2 days,-
Andreas Weimann,11/12,Ligament injury,"May 6, 2012","Jun 18, 2012",44 days,10
Andreas Weimann,11/12,Ligament stretching,"Nov 25, 2011","Dec 2, 2011",8 days,1
Andreas Weimann,11/12,flu,"Oct 17, 2011","Oct 23, 2011",7 days,1
Andreas Weimann,10/11,Ankle injury,"Aug 20, 2010","Dec 31, 2010",134 days,30
Amario Cozier-Duberry,24/25,Ankle injury,"Oct 10, 2024","Nov 26, 2024",48 days,6
Ryan Hedges,21/22,Hamstring injury,"Aug 15, 2021","Sep 23, 2021",40 days,7
Ryan Hedges,20/21,Muscle injury,"Feb 2, 2021","Apr 28, 2021",86 days,13
Emmanuel Dennis,23/24,unknown injury,"Nov 24, 2023","Jan 24, 2024",62 days,?
Emmanuel Dennis,19/20,Ankle injury,"Feb 25, 2020","Jun 1, 2020",98 days,3
Emmanuel Dennis,17/18,Ligament injury,"Aug 25, 2017","Sep 14, 2017",21 days,4
Yuki Ohashi,24/25,Ankle injury,"Jan 3, 2025","Feb 16, 2025",45 days,11
Yuki Ohashi,22/23,Hamstring muscle injury,"Mar 5, 2023","May 28, 2023",85 days,18
Yuki Ohashi,20/21,Broken collarbone,"Aug 23, 2020","Nov 22, 2020",92 days,21
Yuki Ohashi,19/20,Acromioclavicular joint dislocation,"Mar 7, 2020","Aug 2, 2020",149 days,7
Yuki Ohashi,18/19,Cruciate ligament surgery,"May 15, 2019","Jan 15, 2020",246 days,41
Yuki Ohashi,18/19,Cruciate ligament injury,"Apr 29, 2019","May 14, 2019",16 days,3
Cauley Woodrow,20/21,Hamstring injury,"Oct 28, 2020","Nov 22, 2020",26 days,4
Cauley Woodrow,15/16,Metatarsal fracture,"Jan 10, 2016","Mar 10, 2016",61 days,15
Augustus Kargbo,23/24,Ankle sprain,"Feb 4, 2024","Feb 14, 2024",11 days,2
Augustus Kargbo,23/24,Rest,"Nov 27, 2023","Nov 29, 2023",3 days,1
Augustus Kargbo,23/24,Rest,"Nov 7, 2023","Nov 9, 2023",3 days,1
Augustus Kargbo,23/24,muscular problems,"Sep 20, 2023","Sep 26, 2023",7 days,1
Augustus Kargbo,22/23,unknown injury,"Mar 18, 2023","Apr 1, 2023",15 days,4
Augustus Kargbo,22/23,unknown injury,"Jan 27, 2023","Feb 3, 2023",8 days,2
Augustus Kargbo,20/21,unknown injury,"May 6, 2021","Jun 30, 2021",56 days,2
Augustus Kargbo,20/21,Shoulder injury,"Jan 24, 2021","Mar 13, 2021",49 days,9
Augustus Kargbo,20/21,Muscle injury,"Jan 4, 2021","Jan 11, 2021",8 days,2
Augustus Kargbo,20/21,Shoulder injury,"Dec 13, 2020","Dec 22, 2020",10 days,3
Augustus Kargbo,20/21,Corona virus,"Oct 22, 2020","Nov 5, 2020",15 days,1
Augustus Kargbo,18/19,unknown injury,"Apr 12, 2019","Apr 16, 2019",5 days,1
Augustus Kargbo,18/19,unknown injury,"Mar 1, 2019","Mar 12, 2019",12 days,2
Augustus Kargbo,17/18,Rest,"Mar 18, 2018","Mar 22, 2018",5 days,-
Max O'Leary,21/22,unknown injury,"Feb 13, 2022","Mar 1, 2022",17 days,4
Luke McNally,24/25,Cruciate ligament injury,"Feb 9, 2025",,48 days,8
Luke McNally,23/24,unknown injury,"Feb 15, 2024","Mar 6, 2024",21 days,4
Zak Vyner,23/24,Ligament injury,"Sep 20, 2023","Nov 30, 2023",72 days,11
Zak Vyner,19/20,Shoulder injury,"Nov 7, 2019","Nov 30, 2019",24 days,3
Rob Dickie,15/16,Ankle injury,"Dec 12, 2015","Mar 20, 2016",100 days,15
George Tanner,24/25,Knee surgery,"Mar 12, 2025",,17 days,1
George Tanner,23/24,Ankle injury,"Sep 30, 2023","Nov 1, 2023",33 days,6
Ross McCrorie,23/24,Bone inflammation,"Jul 31, 2023","Jan 6, 2024",160 days,28
Ross McCrorie,21/22,Ill,"Feb 24, 2022","Mar 3, 2022",8 days,2
Ross McCrorie,20/21,Ankle injury,"Jan 16, 2021","Jan 26, 2021",11 days,2
Ross McCrorie,20/21,Corona virus,"Nov 20, 2020","Nov 30, 2020",11 days,3
Ross McCrorie,17/18,Knee injury,"Jan 15, 2018","Mar 15, 2018",60 days,3
Max Bird,23/24,Calf injury,"Mar 5, 2024","Apr 17, 2024",44 days,8
Max Bird,23/24,Torn ankle ligaments,"Aug 16, 2023","Sep 25, 2023",41 days,6
Max Bird,22/23,Groin injury,"Jan 31, 2023","Mar 10, 2023",39 days,8
Marcus McGuane,20/21,Thigh problems,"Jan 26, 2021","May 31, 2021",126 days,29
Marcus McGuane,19/20,Shoulder injury,"Oct 2, 2019","Oct 11, 2019",10 days,1
Marcus McGuane,18/19,muscular problems,"May 18, 2019","May 25, 2019",8 days,1
Marcus McGuane,18/19,Hamstring injury,"Oct 21, 2018","Nov 28, 2018",39 days,5
Marcus McGuane,17/18,Foot bruise,"May 17, 2018","May 31, 2018",15 days,2
