player_name,date_of_birth/age,height,position
Aynsley Pears,Apr 23 1998 (26),185 m,Goalkeeper
Balázs Tóth,Sep 4 1997 (27),189 m,Goalkeeper
Scott Wharton,Oct 3 1997 (27),182 m,Centre-Back
Hayden Carter,Dec 17 1999 (25),188 m,Centre-Back
Dion Sanderson,Dec 15 1999 (25),188 m,Centre-Back
Dominic Hyam,Dec 20 1995 (29),188 m,Centre-Back
Danny Batth,Sep 21 1990 (34),191 m,Centre-Back
Harry Pickering,Dec 29 1998 (26),173 m,Left-Back
Owen Beck,Aug 9 2002 (22),177 m,Left-Back
Yuri Ribeiro,Jan 24 1997 (28),178 m,Left-Back
Callum Brittain,Mar 12 1998 (27),179 m,Right-Back
Joe Rankin-Costello,Jul 26 1999 (25),183 m,Right-Back
Lewis Travis,Oct 16 1997 (27),183 m,Defensive Midfield
John Buckley,Oct 13 1999 (25),173 m,Central Midfield
Sondre Tronstad,Aug 26 1995 (29),174 m,Central Midfield
Adam Forshaw,Oct 8 1991 (33),175 m,Central Midfield
Todd Cantwell,Feb 27 1998 (27),180 m,Attacking Midfield
Andreas Weimann,Aug 5 1991 (33),179 m,Attacking Midfield
Tyrhys Dolan,Dec 28 2001 (23),170 m,Right Winger
Amario Cozier-Duberry,May 29 2005 (19),170 m,Right Winger
Ryan Hedges,Jul 8 1995 (29),185 m,Right Winger
Emmanuel Dennis,Nov 15 1997 (27),175 m,Centre-Forward
Makhtar Gueye,Dec 4 1997 (27),195 m,Centre-Forward
Yuki Ohashi,Jul 27 1996 (28),181 m,Centre-Forward
Harry Leonard,Sep 12 2003 (21),184 m,Centre-Forward
Cauley Woodrow,Dec 2 1994 (30),184 m,Centre-Forward
Augustus Kargbo,Aug 24 1999 (25),172 m,Centre-Forward
Max O'Leary,Oct 10 1996 (28),189 m,Goalkeeper
Stefan Bajic,Dec 23 2001 (23),188 m,Goalkeeper
Lewis Thomas,Sep 20 1997 (27),185 m,Goalkeeper
Luke McNally,Sep 20 1999 (25),193 m,Centre-Back
Zak Vyner,May 14 1997 (27),187 m,Centre-Back
Rob Dickie,Mar 3 1996 (29),191 m,Centre-Back
Cameron Pring,Jan 22 1998 (27),185 m,Left-Back
Haydon Roberts,May 10 2002 (22),184 m,Left-Back
George Tanner,Nov 16 1999 (25),181 m,Right-Back
Ross McCrorie,Mar 18 1998 (27),187 m,Right-Back
Max Bird,Sep 18 2000 (24),183 m,Defensive Midfield
Marcus McGuane,Feb 2 1999 (26),178 m,Defensive Midfield
Jason Knight,Feb 13 2001 (24),173 m,Central Midfield
Joe Williams,Dec 8 1996 (28),185 m,Central Midfield
Ayman Benarous,Jul 27 2003 (21),,Central Midfield
Mark Sykes,Aug 4 1997 (27),182 m,Right Midfield
Scott Twine,Jul 14 1999 (25),174 m,Attacking Midfield
George Earthy,Sep 5 2004 (20),180 m,Attacking Midfield
Anis Mehmeti,Jan 9 2001 (24),180 m,Left Winger
Sam Bell,May 23 2002 (22),178 m,Left Winger
Yu Hirakawa,Jan 3 2001 (24),172 m,Right Winger
Sinclair Armstrong,Jun 22 2003 (21),182 m,Centre-Forward
Harry Cornick,Apr 9 1995 (29),180 m,Centre-Forward
Nahki Wells,Jun 1 1990 (34),170 m,Centre-Forward
Ethan Horvath,Jun 9 1995 (29),195 m,Goalkeeper
Jak Alnwick,Jun 17 1993 (31),187 m,Goalkeeper
Matthew Turner,Mar 27 2002 (23),194 m,Goalkeeper
Jesper Daland,Jan 6 2000 (25),191 m,Centre-Back
Calum Chambers,Jan 20 1995 (30),182 m,Centre-Back
Dimitrios Goutas,Apr 4 1994 (30),189 m,Centre-Back
Will Fish,Feb 17 2003 (22),185 m,Centre-Back
Jamilu Collins,Aug 5 1994 (30),183 m,Left-Back
Joel Bagan,Sep 3 2001 (23),188 m,Left-Back
Perry Ng,Jun 24 1996 (28),180 m,Right-Back
Sivert Mannsverk,May 8 2002 (22),185 m,Defensive Midfield
David Turnbull,Jul 10 1999 (25),185 m,Central Midfield
Joe Ralls,Oct 12 1993 (31),178 m,Central Midfield
Alex Robertson,Apr 17 2003 (21),182 m,Central Midfield
Aaron Ramsey,Dec 26 1990 (34),178 m,Central Midfield
Andy Rinomhota,Apr 21 1997 (27),175 m,Central Midfield
Callum O'Dowda,Apr 23 1995 (29),180 m,Left Midfield
Rubin Colwill,Apr 27 2002 (22),189 m,Attacking Midfield
Cian Ashford,Sep 24 2004 (20),179 m,Attacking Midfield
Will Alves,May 4 2005 (19),,Attacking Midfield
Chris Willock,Jan 31 1998 (27),178 m,Left Winger
Yakou Méïté,Feb 11 1996 (29),185 m,Left Winger
Anwar El Ghazi,May 3 1995 (29),189 m,Right Winger
Ollie Tanner,May 13 2002 (22),177 m,Right Winger
,,,
Yousef Salech,Jan 17 2002 (23),195 m,Centre-Forward
Callum Robinson,Feb 2 1995 (30),178 m,Centre-Forward
Isaak Davies,Sep 25 2001 (23),175 m,Centre-Forward
Oliver Dovin,Jul 11 2002 (22),188 m,Goalkeeper
Brad Collins,Feb 18 1997 (28),184 m,Goalkeeper
Ben Wilson,Aug 9 1992 (32),186 m,Goalkeeper
Cian Tyler,Mar 22 2002 (23),188 m,Goalkeeper
Liam Kitching,Sep 25 1999 (25),186 m,Centre-Back
Joel Latibeaudiere,Jan 6 2000 (25),180 m,Centre-Back
Bobby Thomas,Jan 30 2001 (24),186 m,Centre-Back
Luis Binks,Sep 2 2001 (23),190 m,Centre-Back
Jay Dasilva,Apr 22 1998 (26),170 m,Left-Back
Jake Bidwell,Mar 21 1993 (32),183 m,Left-Back
Broad,Sep 15 2005 (19),,Left-Back
Milan van Ewijk,Sep 8 2000 (24),175 m,Right-Back
Ben Sheaf,Feb 5 1998 (27),185 m,Defensive Midfield
Matt Grimes,Jul 15 1995 (29),178 m,Defensive Midfield
Josh Eccles,Apr 6 2000 (24),181 m,Central Midfield
Jack Rudoni,Jun 14 2001 (23),185 m,Central Midfield
Victor Torp,Jul 30 1999 (25),178 m,Central Midfield
Jamie Allen,Jan 29 1995 (30),180 m,Central Midfield
Ryan Howley,Nov 23 2003 (21),187 m,Central Midfield
Tatsuhiro Sakamoto,Oct 22 1996 (28),170 m,Right Midfield
Jack Burroughs,Mar 21 2001 (24),188 m,Right Midfield
Jamie Paterson,Dec 20 1991 (33),175 m,Attacking Midfield
Ephron Mason-Clark,Aug 25 1999 (25),178 m,Left Winger
Raphael Borges Rodrigues,Sep 11 2003 (21),173 m,Left Winger
Haji Wright,Mar 27 1998 (27),193 m,Centre-Forward
Ellis Simms,Jan 5 2001 (24),191 m,Centre-Forward
Brandon Thomas-Asante,Dec 29 1998 (26),182 m,Centre-Forward
Norman Bassette,Nov 9 2004 (20),186 m,Centre-Forward
Jacob Widell Zetterström,Jul 11 1998 (26),197 m,Goalkeeper
Josh Vickers,Dec 1 1995 (29),193 m,Goalkeeper
Rohan Luthra,May 6 2002 (22),,Goalkeeper
Nat Phillips,Mar 21 1997 (28),190 m,Centre-Back
Matt Clarke,Sep 22 1996 (28),185 m,Centre-Back
Sondre Langås,Feb 2 2001 (24),190 m,Centre-Back
Curtis Nelson,May 21 1993 (31),183 m,Centre-Back
Jake Rooney,Aug 22 2003 (21),188 m,Centre-Back
Callum Elder,Jan 27 1995 (30),180 m,Left-Back
Craig Forsyth,Feb 24 1989 (36),189 m,Left-Back
Ryan Nyambe,Dec 4 1997 (27),183 m,Right-Back
Kane Wilson,Mar 11 2000 (25),178 m,Right-Back
David Ozoh,May 6 2005 (19),189 m,Defensive Midfield
Liam Thompson,Apr 29 2002 (22),173 m,Defensive Midfield
Darren Robinson,Dec 29 2004 (20),177 m,Defensive Midfield
Kenzo Goudmijn,Dec 18 2001 (23),176 m,Central Midfield
Ben Osborn,Aug 5 1994 (30),176 m,Central Midfield
Ebou Adams,Jan 15 1996 (29),178 m,Central Midfield
Harrison Armstrong,Jan 19 2007 (18),185 m,Central Midfield
Jeff Hendrick,Jan 31 1992 (33),185 m,Central Midfield
Joe Ward,Aug 22 1995 (29),167 m,Right Midfield
Marcus Harness,Feb 24 1996 (29),182 m,Attacking Midfield
Corey Blackett-Taylor,Sep 23 1997 (27),180 m,Left Winger
Tom Barkhuizen,Jul 4 1993 (31),175 m,Left Winger
Nathaniel Méndez-Laing,Apr 15 1992 (32),178 m,Right Winger
Jerry Yates,Nov 10 1996 (28),175 m,Centre-Forward
Kemar Roofe,Jan 6 1993 (32),178 m,Centre-Forward
Lars-Jørgen Salvesen,Feb 19 1996 (29),186 m,Centre-Forward
Kayden Jackson,Feb 22 1994 (31),181 m,Centre-Forward
Conor Washington,May 18 1992 (32),178 m,Centre-Forward
Dajaune Brown,Oct 16 2005 (19),182 m,Centre-Forward
Ivor Pandur,Mar 25 2000 (25),187 m,Goalkeeper
Lo-Tutala,Feb 13 2003 (22),191 m,Goalkeeper
