player_name,minutes_played,season
,,
Aynsley Pears,2612.0,23/24
Aynsley Pears,394.0,21/22
Aynsley Pears,2250.0,19/20
Aynsley Pears,2430.0,17/18
Aynsley Pears,1530.0,16/17
Balázs Tóth,1980.0,24/25
Balázs Tóth,5490.0,23/24
Balázs Tóth,3600.0,22/23
Balázs Tóth,3780.0,21/22
Balázs Tóth,5745.0,20/21
Balázs Tóth,1900.0,19/20
Balázs Tóth,4410.0,18/19
Balázs Tóth,0.0,17/18
Balázs Tóth,180.0,16/17
Balázs Tóth,360.0,15/16
Scott Wharton,2912.0,21/22
Scott Wharton,488.0,20/21
Scott Wharton,3718.0,19/20
Scott Wharton,1862.0,17/18
Scott Wharton,1877.0,16/17
Scott Wharton,2384.0,15/16
Hayden Carter,1429.0,24/25
Hayden Carter,2745.0,21/22
Hayden Carter,2444.0,20/21
Hayden Carter,990.0,19/20
Hayden Carter,1005.0,16/17
Dion Sanderson,2021.0,20/21
Dion Sanderson,2281.0,19/20
Dion Sanderson,806.0,18/19
Dion Sanderson,3161.0,16/17
Dominic Hyam,3779.0,22/23
Dominic Hyam,3966.0,21/22
Dominic Hyam,765.0,16/17
Dominic Hyam,2655.0,15/16
Dominic Hyam,751.0,14/15
Dominic Hyam,399.0,13/14
Danny Batth,3953.0,19/20
Danny Batth,2522.0,18/19
Danny Batth,3661.0,15/16
Danny Batth,937.0,12/13
Harry Pickering,1177.0,24/25
Harry Pickering,2841.0,21/22
Harry Pickering,0.0,16/17
Owen Beck,2040.0,24/25
Owen Beck,5337.0,23/24
Owen Beck,1515.0,22/23
Owen Beck,2754.0,21/22
Owen Beck,1726.0,20/21
Owen Beck,929.0,19/20
Yuri Ribeiro,1651.0,24/25
Yuri Ribeiro,6780.0,23/24
Yuri Ribeiro,4056.0,22/23
Yuri Ribeiro,2473.0,21/22
Yuri Ribeiro,2275.0,20/21
Yuri Ribeiro,721.0,18/19
Yuri Ribeiro,3468.0,17/18
Yuri Ribeiro,3655.0,16/17
Yuri Ribeiro,3223.0,15/16
Yuri Ribeiro,1189.0,14/15
Callum Brittain,3194.0,21/22
Callum Brittain,2901.0,17/18
Callum Brittain,1080.0,15/16
Joe Rankin-Costello,895.0,21/22
Joe Rankin-Costello,1354.0,20/21
Joe Rankin-Costello,1211.0,19/20
Joe Rankin-Costello,1190.0,17/18
Joe Rankin-Costello,2103.0,16/17
Joe Rankin-Costello,1190.0,15/16
Lewis Travis,1995.0,17/18
Lewis Travis,1644.0,16/17
Lewis Travis,540.0,15/16
John Buckley,1872.0,18/19
John Buckley,1765.0,16/17
Sondre Tronstad,5677.0,21/22
Sondre Tronstad,2152.0,20/21
