player_name,date_of_birth/age,height,position,current_age_x,minutes_played,season,injury,from_date,to_date,days_out,matches_missed,injury_year,current_age_y,age_at_injury
David Raya,Sep 15 1995 (29),183 m,Goalkeeper,29,3720.0,24/25,Muscle injury,2024-09-23,"Sep 27, 2024",5 days,1,2024.0,29.0,28.0
David Raya,Sep 15 1995 (29),183 m,Goalkeeper,29,3945.0,23/24,,,,,,,,
David Raya,Sep 15 1995 (29),183 m,Goalkeeper,29,3645.0,22/23,,,,,,,,
David Raya,Sep 15 1995 (29),183 m,Goalkeeper,29,2340.0,21/22,Knee injury,2021-10-25,"Feb 4, 2022",103 days,19,2021.0,29.0,25.0
David Raya,Sep 15 1995 (29),183 m,Goalkeeper,29,4440.0,19/20,,,,,,,,
David Raya,Sep 15 1995 (29),183 m,Goalkeeper,29,900.0,15/16,,,,,,,,
David Raya,Sep 15 1995 (29),183 m,Goalkeeper,29,180.0,12/13,,,,,,,,
Neto,Jul 19 1989 (35),190 m,Goalkeeper,35,2880.0,23/24,Ankle injury,2023-10-27,"Nov 24, 2023",29 days,4,2023.0,35.0,33.0
Neto,Jul 19 1989 (35),190 m,Goalkeeper,35,2475.0,22/23,Fitness,2022-12-19,"Jan 13, 2023",26 days,5,2022.0,35.0,32.0
Neto,Jul 19 1989 (35),190 m,Goalkeeper,35,2475.0,22/23,Hamstring injury,2022-10-24,"Dec 18, 2022",56 days,5,2022.0,35.0,32.0
Neto,Jul 19 1989 (35),190 m,Goalkeeper,35,360.0,21/22,cold,2021-11-05,"Nov 8, 2021",4 days,1,2021.0,35.0,31.0
Neto,Jul 19 1989 (35),190 m,Goalkeeper,35,5040.0,18/19,Back injury,2019-03-15,"Mar 29, 2019",15 days,1,2019.0,35.0,29.0
Neto,Jul 19 1989 (35),190 m,Goalkeeper,35,2970.0,17/18,,,,,,,,
Neto,Jul 19 1989 (35),190 m,Goalkeeper,35,4050.0,14/15,,,,,,,,
Neto,Jul 19 1989 (35),190 m,Goalkeeper,35,5220.0,13/14,unknown injury,2014-05-04,"Jul 1, 2014",59 days,3,2014.0,35.0,24.0
Neto,Jul 19 1989 (35),190 m,Goalkeeper,35,930.0,12/13,,,,,,,,
William Saliba,Mar 24 2001 (23),192 m,Centre-Back,23,3435.0,24/25,Hamstring injury,2025-01-17,"Jan 24, 2025",8 days,2,2025.0,23.0,23.0
William Saliba,Mar 24 2001 (23),192 m,Centre-Back,23,5387.0,23/24,Toe injury,2023-10-09,"Oct 19, 2023",11 days,2,2023.0,23.0,21.0
William Saliba,Mar 24 2001 (23),192 m,Centre-Back,23,3334.0,22/23,Back injury,2023-03-16,"Jul 1, 2023",108 days,16,2023.0,23.0,21.0
William Saliba,Mar 24 2001 (23),192 m,Centre-Back,23,6428.0,21/22,,,,,,,,
William Saliba,Mar 24 2001 (23),192 m,Centre-Back,23,2658.0,20/21,,,,,,,,
William Saliba,Mar 24 2001 (23),192 m,Centre-Back,23,1621.0,19/20,Metatarsal fracture,2019-11-04,"Jan 20, 2020",78 days,19,2019.0,23.0,17.0
William Saliba,Mar 24 2001 (23),192 m,Centre-Back,23,2572.0,18/19,Hamstring injury,2019-05-23,"Sep 28, 2019",129 days,22,2019.0,23.0,17.0
Gabriel Magalhães,Dec 19 1997 (27),190 m,Centre-Back,27,4334.0,23/24,,,,,,,,
Gabriel Magalhães,Dec 19 1997 (27),190 m,Centre-Back,27,5696.0,22/23,,,,,,,,
Gabriel Magalhães,Dec 19 1997 (27),190 m,Centre-Back,27,3309.0,21/22,Knee injury,2021-07-06,"Aug 25, 2021",51 days,4,2021.0,27.0,23.0
