player_name,date_of_birth/age,height,position,current_age_x,minutes_played,season,injury,from_date,to_date,days_out,matches_missed,injury_year,current_age_y,age_at_injury
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,3826.0,24/25,muscular problems,2024-08-15,"Aug 20, 2024",6 days,2,2024.0,32.0,31.0
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,4920.0,23/24,,,,,,,,
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,4704.0,22/23,,,,,,,,
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,5160.0,21/22,unknown injury,2022-04-27,"May 4, 2022",8 days,1,2022.0,32.0,29.0
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,4590.0,20/21,,,,,,,,
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,4410.0,19/20,,,,,,,,
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,630.0,18/19,Knee injury,2018-08-30,"Apr 16, 2019",230 days,36,2018.0,32.0,25.0
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,5550.0,17/18,,,,,,,,
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,1676.0,16/17,,,,,,,,
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,3360.0,15/16,,,,,,,,
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,2070.0,14/15,,,,,,,,
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,3240.0,13/14,,,,,,,,
Matheus,Mar 29 1992 (32),190 m,Goalkeeper,32,6208.0,12/13,,,,,,,,
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,0.0,24/25,Ill,2025-02-19,,11 days,2,2025.0,24.0,24.0
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,0.0,24/25,unknown injury,2024-07-15,"Jul 31, 2024",17 days,1,2024.0,24.0,23.0
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,1386.0,23/24,Hand injury,2024-03-06,"May 4, 2024",60 days,9,2024.0,24.0,23.0
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,1386.0,23/24,concussion,2024-01-03,"Jan 13, 2024",11 days,-,2024.0,24.0,23.0
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,1386.0,23/24,Muscle injury,2023-10-24,"Dec 31, 2023",69 days,14,2023.0,24.0,22.0
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,900.0,22/23,Ill,2023-01-20,"Jan 25, 2023",6 days,1,2023.0,24.0,22.0
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,1845.0,21/22,Thumb injury,2022-02-26,"Apr 1, 2022",35 days,8,2022.0,24.0,21.0
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,1845.0,21/22,unknown injury,2021-09-01,"Sep 14, 2021",14 days,2,2021.0,24.0,20.0
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,810.0,19/20,,,,,,,,
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,2614.0,18/19,,,,,,,,
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,450.0,17/18,,,,,,,,
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper,24,340.0,16/17,,,,,,,,
Remko Pasveer,Nov 8 1983 (41),188 m,Goalkeeper,41,5070.0,24/25,Ill,2025-02-23,,7 days,1,2025.0,41.0,41.0
Remko Pasveer,Nov 8 1983 (41),188 m,Goalkeeper,41,0.0,23/24,Knee injury,2023-11-24,"Mar 9, 2024",107 days,19,2023.0,41.0,39.0
Remko Pasveer,Nov 8 1983 (41),188 m,Goalkeeper,41,0.0,23/24,Metacarpal fracture,2023-07-20,"Sep 16, 2023",59 days,5,2023.0,41.0,39.0
Remko Pasveer,Nov 8 1983 (41),188 m,Goalkeeper,41,2160.0,22/23,,,,,,,,
Remko Pasveer,Nov 8 1983 (41),188 m,Goalkeeper,41,2520.0,21/22,Broken finger,2022-02-23,"Jul 22, 2022",150 days,26,2022.0,41.0,38.0
Remko Pasveer,Nov 8 1983 (41),188 m,Goalkeeper,41,1080.0,18/19,Cracked bone,2019-06-24,"Aug 1, 2019",39 days,-,2019.0,41.0,35.0
Remko Pasveer,Nov 8 1983 (41),188 m,Goalkeeper,41,3660.0,17/18,Hip injury,2017-11-17,"Nov 22, 2017",6 days,1,2017.0,41.0,33.0
Remko Pasveer,Nov 8 1983 (41),188 m,Goalkeeper,41,1380.0,14/15,,,,,,,,
Josip Sutalo,Feb 28 2000 (25),190 m,Centre-Back,25,4865.0,24/25,Ill,2024-12-15,"Jan 13, 2025",30 days,4,2024.0,25.0,24.0
Josip Sutalo,Feb 28 2000 (25),190 m,Centre-Back,25,4865.0,24/25,minor knock,2024-11-03,"Nov 9, 2024",7 days,1,2024.0,25.0,24.0
Josip Sutalo,Feb 28 2000 (25),190 m,Centre-Back,25,4719.0,23/24,unknown injury,2024-03-15,"Apr 3, 2024",20 days,4,2024.0,25.0,24.0
Josip Sutalo,Feb 28 2000 (25),190 m,Centre-Back,25,4719.0,23/24,unknown injury,2024-03-01,"Mar 9, 2024",9 days,2,2024.0,25.0,24.0
Josip Sutalo,Feb 28 2000 (25),190 m,Centre-Back,25,4719.0,23/24,unknown injury,2024-01-15,"Feb 2, 2024",19 days,2,2024.0,25.0,24.0
Josip Sutalo,Feb 28 2000 (25),190 m,Centre-Back,25,4719.0,23/24,bruise,2023-11-24,"Dec 2, 2023",9 days,2,2023.0,25.0,23.0
Josip Sutalo,Feb 28 2000 (25),190 m,Centre-Back,25,4719.0,23/24,Back problems,2023-10-07,"Oct 10, 2023",4 days,1,2023.0,25.0,23.0
Josip Sutalo,Feb 28 2000 (25),190 m,Centre-Back,25,4162.0,22/23,unknown injury,2022-07-22,"Aug 29, 2022",39 days,11,2022.0,25.0,22.0
Josip Sutalo,Feb 28 2000 (25),190 m,Centre-Back,25,4425.0,21/22,,,,,,,,
Josip Sutalo,Feb 28 2000 (25),190 m,Centre-Back,25,3685.0,20/21,,,,,,,,
