player_name,season,injury,from_date,to_date,days_out,matches_missed
Matheus,24/25,muscular problems,"Aug 15, 2024","Aug 20, 2024",6 days,2
Matheus,21/22,unknown injury,"Apr 27, 2022","May 4, 2022",8 days,1
Matheus,18/19,Knee injury,"Aug 30, 2018","Apr 16, 2019",230 days,36
Jay Gorter,24/25,Ill,"Feb 19, 2025",,11 days,2
Jay Gorter,24/25,unknown injury,"Jul 15, 2024","Jul 31, 2024",17 days,1
Jay Gorter,23/24,Hand injury,"Mar 6, 2024","May 4, 2024",60 days,9
Jay Gorter,23/24,concussion,"Jan 3, 2024","Jan 13, 2024",11 days,-
Jay Gorter,23/24,Muscle injury,"Oct 24, 2023","Dec 31, 2023",69 days,14
Jay Gorter,22/23,Ill,"Jan 20, 2023","Jan 25, 2023",6 days,1
Jay Gorter,21/22,Thumb injury,"Feb 26, 2022","Apr 1, 2022",35 days,8
Jay Gorter,21/22,unknown injury,"Sep 1, 2021","Sep 14, 2021",14 days,2
Jay Gorter,20/21,Corona virus,"Jan 3, 2021","Jan 8, 2021",6 days,1
Remko Pasveer,24/25,Ill,"Feb 23, 2025",,7 days,1
Remko Pasveer,23/24,Knee injury,"Nov 24, 2023","Mar 9, 2024",107 days,19
Remko Pasveer,23/24,Metacarpal fracture,"Jul 20, 2023","Sep 16, 2023",59 days,5
Remko Pasveer,21/22,Broken finger,"Feb 23, 2022","Jul 22, 2022",150 days,26
Remko Pasveer,20/21,Groin problems,"Apr 1, 2021","Apr 7, 2021",7 days,1
Remko Pasveer,18/19,Cracked bone,"Jun 24, 2019","Aug 1, 2019",39 days,-
Remko Pasveer,17/18,Hip injury,"Nov 17, 2017","Nov 22, 2017",6 days,1
Josip Sutalo,24/25,Ill,"Dec 15, 2024","Jan 13, 2025",30 days,4
Josip Sutalo,24/25,minor knock,"Nov 3, 2024","Nov 9, 2024",7 days,1
Josip Sutalo,23/24,unknown injury,"Mar 15, 2024","Apr 3, 2024",20 days,4
Josip Sutalo,23/24,unknown injury,"Mar 1, 2024","Mar 9, 2024",9 days,2
Josip Sutalo,23/24,unknown injury,"Jan 15, 2024","Feb 2, 2024",19 days,2
Josip Sutalo,23/24,bruise,"Nov 24, 2023","Dec 2, 2023",9 days,2
Josip Sutalo,23/24,Back problems,"Oct 7, 2023","Oct 10, 2023",4 days,1
Josip Sutalo,22/23,unknown injury,"Jul 22, 2022","Aug 29, 2022",39 days,11
Ahmetcan Kaplan,24/25,Ill,"Feb 15, 2025","Feb 19, 2025",5 days,1
Ahmetcan Kaplan,24/25,Muscle injury,"Aug 16, 2024","Sep 16, 2024",32 days,5
Ahmetcan Kaplan,24/25,Fitness,"Jul 20, 2024","Jul 31, 2024",12 days,1
Ahmetcan Kaplan,23/24,Groin strain,"Jun 9, 2024","Jun 13, 2024",5 days,-
Ahmetcan Kaplan,22/23,Torn lateral knee ligament,"Nov 11, 2022","Oct 23, 2023",347 days,48
Ahmetcan Kaplan,22/23,Partial damage to the cruciate ligament,"Sep 21, 2022","Oct 29, 2022",39 days,8
Ahmetcan Kaplan,21/22,Ligament injury,"Mar 26, 2022","Apr 2, 2022",8 days,-
Ahmetcan Kaplan,21/22,minor knock,"Aug 2, 2021","Aug 6, 2021",5 days,1
Ahmetcan Kaplan,20/21,Corona virus,"May 13, 2021","May 17, 2021",5 days,1
Ahmetcan Kaplan,20/21,Corona virus,"Dec 3, 2020","Dec 17, 2020",15 days,3
Youri Baas,24/25,Ill,"Feb 15, 2025","Feb 22, 2025",8 days,2
Youri Baas,24/25,unknown injury,"Sep 20, 2024","Sep 22, 2024",3 days,1
Youri Baas,23/24,unknown injury,"Jan 16, 2024","Feb 4, 2024",20 days,4
Youri Baas,23/24,unknown injury,"Oct 30, 2023","Nov 3, 2023",5 days,1
Youri Baas,23/24,Groin injury,"Sep 27, 2023","Oct 15, 2023",19 days,3
Youri Baas,22/23,Syndesmosis ligament tear,"Oct 21, 2022","Feb 19, 2023",122 days,18
Youri Baas,19/20,Knock,"Jan 24, 2020","Mar 6, 2020",43 days,5
Daniele Rugani,24/25,Ill,"Nov 30, 2024","Dec 7, 2024",8 days,2
Daniele Rugani,21/22,Hip flexor problems,"Feb 18, 2022","Mar 5, 2022",16 days,4
Daniele Rugani,21/22,Stomach flu,"Oct 30, 2021","Nov 1, 2021",3 days,1
Daniele Rugani,20/21,bruise,"Mar 3, 2021","Mar 6, 2021",4 days,1
Daniele Rugani,20/21,Hamstring injury,"Oct 29, 2020","Jan 21, 2021",85 days,16
Daniele Rugani,18/19,inflammation,"May 3, 2019","May 17, 2019",15 days,2
Daniele Rugani,18/19,Bruised ribs,"Oct 3, 2018","Oct 10, 2018",8 days,2
Daniele Rugani,17/18,stomach problems,"Jan 10, 2018","Jan 24, 2018",15 days,1
Daniele Rugani,16/17,Knee problems,"Apr 27, 2017","May 26, 2017",30 days,7
Daniele Rugani,16/17,Outer ligament problems,"Sep 26, 2016","Oct 20, 2016",25 days,7
Daniele Rugani,16/17,Collateral ligament injury,"Sep 26, 2016","Oct 20, 2016",25 days,7
Owen Wijndal,24/25,Knee injury,"Jan 15, 2025","Mar 1, 2025",46 days,9
Owen Wijndal,23/24,Muscle injury,"Dec 17, 2023","Dec 31, 2023",15 days,3
Owen Wijndal,23/24,Knock,"Sep 2, 2023","Sep 7, 2023",6 days,1
Owen Wijndal,22/23,Knock,"Nov 2, 2022","Nov 8, 2022",7 days,1
Owen Wijndal,22/23,Ill,"Sep 29, 2022","Oct 3, 2022",5 days,1
Owen Wijndal,22/23,bruise,"Aug 27, 2022","Sep 16, 2022",21 days,5
Owen Wijndal,22/23,unknown injury,"May 16, 2022","Jun 30, 2022",46 days,8
Owen Wijndal,21/22,Groin injury,"Jul 1, 2021","Sep 1, 2021",63 days,5
Anton Gaaei,24/25,Ankle injury,"Sep 25, 2024","Oct 2, 2024",8 days,2
Anton Gaaei,23/24,unknown injury,"Jan 13, 2024","Jan 20, 2024",8 days,1
Anton Gaaei,23/24,unknown injury,"Dec 8, 2023","Dec 13, 2023",6 days,1
Lucas Rosa,20/21,Torn thigh muscle,"Dec 3, 2020","Jan 8, 2021",37 days,4
Lucas Rosa,20/21,Corona virus,"Oct 13, 2020","Nov 10, 2020",29 days,7
Lucas Rosa,19/20,Hamstring muscle injury,"Feb 1, 2020","Jul 8, 2020",159 days,6
Lucas Rosa,19/20,unknown injury,"Nov 26, 2019","Nov 28, 2019",3 days,1
Mokio,24/25,unknown injury,"Sep 30, 2024","Oct 17, 2024",18 days,4
Kenneth Taylor,24/25,Ill,"Feb 15, 2025","Feb 19, 2024",363 days,-
Kenneth Taylor,24/25,Ill,"Nov 12, 2024","Nov 19, 2024",8 days,-
Kenneth Taylor,24/25,minor knock,"Sep 2, 2024","Sep 17, 2024",16 days,2
