player_name,date_of_birth/age,height,position
Matheus,Mar 29 1992 (32),190 m,Goalkeeper
Jay Gorter,May 30 2000 (24),190 m,Goalkeeper
Remko Pasveer,Nov 8 1983 (41),188 m,Goalkeeper
Josip Sutalo,Feb 28 2000 (25),190 m,Centre-Back
Ahmetcan Kaplan,Jan 16 2003 (22),189 m,Centre-Back
Youri Baas,Mar 17 2003 (21),188 m,Centre-Back
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back
Janse,Jan 17 2006 (19),196 m,Centre-Back
Jorrel Hato,Mar 7 2006 (18),182 m,Left-Back
Owen Wijndal,Nov 28 1999 (25),176 m,Left-Back
Anton Gaaei,Nov 19 2002 (22),183 m,Right-Back
Lucas Rosa,Apr 3 2000 (24),177 m,Right-Back
Mokio,Feb 29 2008 (17),182 m,Defensive Midfield
Kenneth Taylor,May 16 2002 (22),182 m,Central Midfield
Branco van den Boomen,Jul 21 1995 (29),188 m,Central Midfield
Youri Regeer,Aug 18 2003 (21),177 m,Central Midfield
Kian Fitz-Jim,Jul 5 2003 (21),174 m,Central Midfield
Davy Klaassen,Feb 21 1993 (32),179 m,Central Midfield
Jordan Henderson,Jun 17 1990 (34),182 m,Central Midfield
Mika Godts,Jun 7 2005 (19),176 m,Left Winger
Oliver Edvardsen,Mar 19 1999 (25),175 m,Left Winger
Amourricho Van Axel-Dongen,Sep 29 2004 (20),175 m,Left Winger
Bertrand Traoré,Sep 6 1995 (29),181 m,Right Winger
Steven Berghuis,Dec 19 1991 (33),182 m,Right Winger
Christian Rasmussen,Jan 19 2003 (22),184 m,Right Winger
Brian Brobbey,Feb 1 2002 (23),182 m,Centre-Forward
Wout Weghorst,Aug 7 1992 (32),197 m,Centre-Forward
Nordin Bakker,Oct 31 1997 (27),196 m,Goalkeeper
Jonas Wendlinger,Jul 17 2000 (24),192 m,Goalkeeper
Stijn Keller,Apr 10 2000 (24),196 m,Goalkeeper
Joël van der Wilt,Feb 27 2004 (21),198 m,Goalkeeper
Ricardo Visus,Apr 24 2001 (23),192 m,Centre-Back
Joey Jacobs,Apr 10 2000 (24),187 m,Centre-Back
Théo Barbet,Mar 6 2001 (23),186 m,Centre-Back
Marvin Martins,Feb 17 1995 (30),185 m,Centre-Back
James Lawrence,Aug 22 1992 (32),188 m,Centre-Back
Christopher Mamengi,Apr 3 2001 (23),189 m,Centre-Back
Vasilios Zagaritis,May 4 2001 (23),178 m,Left-Back
Hamdi Akujobi,Jan 20 2000 (25),175 m,Right-Back
Damil Dankerlui,Aug 24 1996 (28),172 m,Right-Back
Thom Haye,Feb 9 1995 (30),187 m,Defensive Midfield
Tim Receveur,Jul 30 1991 (33),182 m,Defensive Midfield
Jochem Ritmeester van de Kamp,Nov 2 2003 (21),177 m,Central Midfield
Anas Tahiri,May 15 1995 (29),179 m,Central Midfield
Àlex Carbonell,Sep 15 1997 (27),182 m,Central Midfield
Álex Balboa,Mar 6 2001 (23),181 m,Central Midfield
Adi Nalic,Dec 1 1997 (27),190 m,Attacking Midfield
Junior Kadile,Dec 16 2002 (22),180 m,Left Winger
Jasim,Jan 20 2004 (21),178 m,Left Winger
Ruben Providence,Jul 7 2001 (23),178 m,Left Winger
Faiz Mattoir,Jul 12 2000 (24),169 m,Left Winger
Baptiste Guillaume,Jun 16 1995 (29),189 m,Centre-Forward
Thomas Robinet,Aug 18 1996 (28),180 m,Centre-Forward
Kornelius Hansen,May 6 2001 (23),175 m,Centre-Forward
Charles-Andreas Brym,Aug 8 1998 (26),185 m,Centre-Forward
Rome Jayden Owusu-Oduro,Jul 2 2004 (20),190 m,Goalkeeper
Jeroen Zoet,Jan 6 1991 (34),189 m,Goalkeeper
Hobie Verhulst,Apr 2 1993 (31),192 m,Goalkeeper
Sem Westerveld,Jul 18 2002 (22),191 m,Goalkeeper
Daniël Virginio Deen,Feb 13 2003 (22),188 m,Goalkeeper
Wouter Goes,Jun 10 2004 (20),185 m,Centre-Back
Alexandre Penetra,Sep 9 2001 (23),186 m,Centre-Back
Maxim Dekker,Apr 21 2004 (20),192 m,Centre-Back
Bruno Martins Indi,Feb 8 1992 (33),185 m,Centre-Back
Lewis Schouten,Feb 4 2004 (21),191 m,Centre-Back
David Møller Wolfe,Apr 23 2002 (22),187 m,Left-Back
Mees de Wit,Apr 17 1998 (26),181 m,Left-Back
Seiya Maikuma,Oct 16 1997 (27),179 m,Right-Back
Denso Kasius,Oct 6 2002 (22),183 m,Right-Back
Peer Koopmeiners,May 4 2000 (24),186 m,Defensive Midfield
Kristijan Belic,Mar 25 2001 (23),177 m,Defensive Midfield
Jordy Clasie,Jun 27 1991 (33),169 m,Defensive Midfield
Kees Smit,Jan 20 2006 (19),182 m,Central Midfield
