player_name,minutes_played,season
,,
Jonas Wendlinger,720.0,20/21
Jonas Wendlinger,3476.0,18/19
Stijn Keller,4185.0,22/23
Stijn Keller,2790.0,21/22
Stijn Keller,720.0,20/21
Stijn Keller,1980.0,19/20
Stijn Keller,3150.0,18/19
Stijn Keller,2250.0,17/18
Joël van der Wilt,720.0,21/22
Ricardo Visus,2136.0,23/24
Ricardo Visus,1827.0,22/23
Ricardo Visus,878.0,21/22
Ricardo Visus,35.0,20/21
Joey Jacobs,4088.0,18/19
Joey Jacobs,5410.0,17/18
Joey Jacobs,2519.0,16/17
Joey Jacobs,1386.0,15/16
Théo Barbet,3738.0,22/23
Théo Barbet,0.0,21/22
Théo Barbet,1750.0,20/21
Théo Barbet,1988.0,19/20
Théo Barbet,2070.0,18/19
Théo Barbet,160.0,17/18
Marvin Martins,418.0,24/25
Marvin Martins,2604.0,23/24
Marvin Martins,4811.0,22/23
Marvin Martins,1502.0,21/22
Marvin Martins,2601.0,20/21
Marvin Martins,2141.0,19/20
Marvin Martins,3447.0,18/19
Marvin Martins,2435.0,17/18
Marvin Martins,1940.0,16/17
Marvin Martins,598.0,15/16
Marvin Martins,957.0,14/15
Marvin Martins,1620.0,13/14
James Lawrence,813.0,24/25
James Lawrence,1261.0,21/22
James Lawrence,1878.0,20/21
James Lawrence,1006.0,19/20
James Lawrence,3991.0,18/19
James Lawrence,3597.0,17/18
James Lawrence,3383.0,16/17
James Lawrence,1120.0,15/16
Christopher Mamengi,392.0,23/24
Christopher Mamengi,1766.0,22/23
Christopher Mamengi,1295.0,20/21
Christopher Mamengi,1967.0,19/20
Christopher Mamengi,1899.0,18/19
Christopher Mamengi,1467.0,17/18
Christopher Mamengi,1330.0,16/17
Vasilios Zagaritis,104.0,21/22
Vasilios Zagaritis,1110.0,20/21
Vasilios Zagaritis,2461.0,19/20
Hamdi Akujobi,600.0,21/22
Hamdi Akujobi,3764.0,18/19
Damil Dankerlui,77.0,24/25
Damil Dankerlui,1680.0,23/24
Damil Dankerlui,1032.0,22/23
Damil Dankerlui,1752.0,21/22
Damil Dankerlui,2538.0,20/21
Damil Dankerlui,956.0,19/20
Damil Dankerlui,1492.0,17/18
Damil Dankerlui,3041.0,16/17
Damil Dankerlui,4309.0,14/15
Damil Dankerlui,617.0,13/14
Thom Haye,3387.0,23/24
Thom Haye,3237.0,20/21
Thom Haye,3205.0,15/16
Thom Haye,2907.0,14/15
Thom Haye,1986.0,13/14
Thom Haye,1529.0,12/13
Tim Receveur,444.0,15/16
Tim Receveur,3022.0,14/15
Jochem Ritmeester van de Kamp,1865.0,24/25
Jochem Ritmeester van de Kamp,3184.0,22/23
Jochem Ritmeester van de Kamp,2733.0,21/22
Anas Tahiri,1688.0,21/22
Anas Tahiri,1640.0,19/20
Anas Tahiri,283.0,13/14
Àlex Carbonell,5404.0,22/23
Àlex Carbonell,5528.0,21/22
Àlex Carbonell,474.0,20/21
Àlex Carbonell,963.0,19/20
Àlex Carbonell,1362.0,17/18
Àlex Carbonell,1841.0,16/17
Àlex Carbonell,467.0,15/16
Álex Balboa,412.0,24/25
Álex Balboa,530.0,23/24
Álex Balboa,773.0,22/23
Álex Balboa,498.0,21/22
Álex Balboa,2050.0,20/21
Álex Balboa,0.0,19/20
Adi Nalic,421.0,23/24
Adi Nalic,1474.0,22/23
Adi Nalic,815.0,21/22
Adi Nalic,2206.0,20/21
Adi Nalic,1343.0,19/20
Adi Nalic,1677.0,18/19
Adi Nalic,180.0,13/14
Junior Kadile,1493.0,22/23
Junior Kadile,2159.0,21/22
Junior Kadile,672.0,19/20
Junior Kadile,355.0,18/19
Jasim,324.0,24/25
Jasim,2994.0,23/24
Ruben Providence,474.0,24/25
Ruben Providence,1521.0,23/24
Ruben Providence,1351.0,22/23
Ruben Providence,168.0,21/22
Ruben Providence,1231.0,20/21
Ruben Providence,1305.0,19/20
Ruben Providence,2784.0,18/19
Faiz Mattoir,340.0,24/25
Faiz Mattoir,68.0,23/24
Faiz Mattoir,380.0,22/23
Faiz Mattoir,1532.0,21/22
Faiz Mattoir,768.0,20/21
Faiz Mattoir,1952.0,19/20
Baptiste Guillaume,324.0,24/25
Baptiste Guillaume,1434.0,18/19
Baptiste Guillaume,787.0,15/16
Thomas Robinet,2366.0,22/23
Thomas Robinet,1368.0,16/17
Thomas Robinet,4544.0,15/16
Thomas Robinet,90.0,14/15
Kornelius Hansen,470.0,22/23
Kornelius Hansen,2060.0,21/22
Kornelius Hansen,2174.0,20/21
Kornelius Hansen,2475.0,19/20
Kornelius Hansen,1519.0,18/19
