player_name,date_of_birth/age,height,position,current_age_x,minutes_played,season,injury,from_date,to_date,days_out,matches_missed,injury_year,current_age_y,age_at_injury
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,2970.0,24/25,Adductor injury,2024-10-23,"Nov 23, 2024",32 days,3,2024.0,32.0,31.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,2970.0,24/25,Adductor tear,2024-09-30,"Oct 18, 2024",19 days,2,2024.0,32.0,31.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,513.0,23/24,Meniscus tear,2024-03-19,"Apr 28, 2024",41 days,6,2024.0,32.0,31.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,513.0,23/24,Cruciate ligament tear,2023-08-10,"Mar 31, 2024",235 days,42,2023.0,32.0,30.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,4920.0,22/23,Adductor pain,2023-03-26,"Mar 30, 2023",5 days,1,2023.0,32.0,30.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,4920.0,22/23,Hamstring injury,2023-02-06,"Feb 17, 2023",12 days,3,2023.0,32.0,30.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,4920.0,22/23,Sciatica problems,2022-09-29,"Oct 17, 2022",19 days,5,2022.0,32.0,29.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,5040.0,21/22,Inflammation of pubic bone,2022-05-30,"Jun 30, 2022",32 days,4,2022.0,32.0,29.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,5040.0,21/22,Corona virus,2021-12-30,"Jan 3, 2022",5 days,1,2021.0,32.0,28.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,5940.0,20/21,minor knock,2020-10-05,"Oct 15, 2020",11 days,3,2020.0,32.0,27.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,4590.0,18/19,minor knock,2019-03-28,"Mar 28, 2019",1 days,-,2019.0,32.0,26.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,4590.0,18/19,Hamstring injury,2019-03-25,"Apr 22, 2019",29 days,5,2019.0,32.0,26.0
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,5160.0,17/18,,,,,,,,
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,4590.0,16/17,,,,,,,,
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,3460.0,15/16,,,,,,,,
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,4494.0,14/15,,,,,,,,
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,5910.0,13/14,,,,,,,,
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper,32,5160.0,12/13,,,,,,,,
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper,26,750.0,24/25,infection,2024-10-06,"Oct 16, 2024",11 days,-,2024.0,26.0,25.0
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper,26,3210.0,23/24,Back problems,2023-10-08,"Oct 18, 2023",11 days,-,2023.0,26.0,24.0
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper,26,1530.0,22/23,,,,,,,,
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper,26,390.0,21/22,inflammation,2022-02-25,"Mar 1, 2022",5 days,1,2022.0,26.0,23.0
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper,26,390.0,21/22,Corona virus,2021-12-16,"Dec 24, 2021",9 days,2,2021.0,26.0,22.0
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper,26,390.0,21/22,Corona virus,2021-08-25,"Sep 6, 2021",13 days,1,2021.0,26.0,22.0
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper,26,210.0,20/21,Corona virus,2020-10-05,"Oct 9, 2020",5 days,-,2020.0,26.0,21.0
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper,26,2190.0,19/20,,,,,,,,
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper,26,1174.0,18/19,,,,,,,,
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper,26,4440.0,17/18,,,,,,,,
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper,26,2640.0,16/17,,,,,,,,
Éder Militão,Jan 18 1998 (27),186 m,Centre-Back,27,1311.0,24/25,Cruciate ligament tear,2024-11-09,"Aug 1, 2025",266 days,46,2024.0,27.0,26.0
Éder Militão,Jan 18 1998 (27),186 m,Centre-Back,27,1311.0,24/25,Muscle injury,2024-10-08,"Oct 18, 2024",11 days,-,2024.0,27.0,26.0
Éder Militão,Jan 18 1998 (27),186 m,Centre-Back,27,1311.0,24/25,muscular problems,2024-09-06,"Sep 13, 2024",8 days,-,2024.0,27.0,26.0
Éder Militão,Jan 18 1998 (27),186 m,Centre-Back,27,956.0,23/24,Fitness,2024-03-13,"Mar 30, 2024",18 days,3,2024.0,27.0,26.0
Éder Militão,Jan 18 1998 (27),186 m,Centre-Back,27,956.0,23/24,Cruciate ligament tear,2023-08-13,"Mar 13, 2024",214 days,45,2023.0,27.0,25.0
Éder Militão,Jan 18 1998 (27),186 m,Centre-Back,27,4591.0,22/23,Muscle injury,2023-02-03,"Feb 9, 2023",7 days,2,2023.0,27.0,25.0
Éder Militão,Jan 18 1998 (27),186 m,Centre-Back,27,4591.0,22/23,Hamstring injury,2022-09-06,"Sep 16, 2022",11 days,3,2022.0,27.0,24.0
