player_name,season,injury,from_date,to_date,days_out,matches_missed
Thibaut Courtois,24/25,Adductor injury,"Oct 23, 2024","Nov 23, 2024",32 days,3
Thibaut Courtois,24/25,Adductor tear,"Sep 30, 2024","Oct 18, 2024",19 days,2
Thibaut Courtois,23/24,Meniscus tear,"Mar 19, 2024","Apr 28, 2024",41 days,6
Thibaut Courtois,23/24,Cruciate ligament tear,"Aug 10, 2023","Mar 31, 2024",235 days,42
Thibaut Courtois,22/23,Adductor pain,"Mar 26, 2023","Mar 30, 2023",5 days,1
Thibaut Courtois,22/23,Hamstring injury,"Feb 6, 2023","Feb 17, 2023",12 days,3
Thibaut Courtois,22/23,Sciatica problems,"Sep 29, 2022","Oct 17, 2022",19 days,5
Thibaut Courtois,21/22,Inflammation of pubic bone,"May 30, 2022","Jun 30, 2022",32 days,4
Thibaut Courtois,21/22,Corona virus,"Dec 30, 2021","Jan 3, 2022",5 days,1
Thibaut Courtois,20/21,minor knock,"Oct 5, 2020","Oct 15, 2020",11 days,3
Thibaut Courtois,19/20,Muscle injury,"Mar 9, 2020","Mar 26, 2020",18 days,-
Thibaut Courtois,19/20,stomach problems,"Oct 3, 2019","Oct 7, 2019",5 days,1
Thibaut Courtois,19/20,Bone sprain,"Jul 29, 2019","Aug 5, 2019",8 days,-
Thibaut Courtois,18/19,minor knock,"Mar 28, 2019","Mar 28, 2019",1 days,-
Thibaut Courtois,18/19,Hamstring injury,"Mar 25, 2019","Apr 22, 2019",29 days,5
Andriy Lunin,24/25,infection,"Oct 6, 2024","Oct 16, 2024",11 days,-
Andriy Lunin,23/24,Back problems,"Oct 8, 2023","Oct 18, 2023",11 days,-
Andriy Lunin,21/22,inflammation,"Feb 25, 2022","Mar 1, 2022",5 days,1
Andriy Lunin,21/22,Corona virus,"Dec 16, 2021","Dec 24, 2021",9 days,2
Andriy Lunin,21/22,Corona virus,"Aug 25, 2021","Sep 6, 2021",13 days,1
Andriy Lunin,20/21,Corona virus,"Oct 5, 2020","Oct 9, 2020",5 days,-
Éder Militão,24/25,Cruciate ligament tear,"Nov 9, 2024","Aug 1, 2025",266 days,46
Éder Militão,24/25,Muscle injury,"Oct 8, 2024","Oct 18, 2024",11 days,-
Éder Militão,24/25,muscular problems,"Sep 6, 2024","Sep 13, 2024",8 days,-
Éder Militão,23/24,Fitness,"Mar 13, 2024","Mar 30, 2024",18 days,3
Éder Militão,23/24,Cruciate ligament tear,"Aug 13, 2023","Mar 13, 2024",214 days,45
Éder Militão,22/23,Muscle injury,"Feb 3, 2023","Feb 9, 2023",7 days,2
Éder Militão,22/23,Hamstring injury,"Sep 6, 2022","Sep 16, 2022",11 days,3
Éder Militão,21/22,flu,"Mar 14, 2022","Mar 18, 2022",5 days,1
Éder Militão,20/21,Knock,"Feb 7, 2021","Mar 5, 2021",27 days,5
Éder Militão,20/21,Corona virus,"Nov 2, 2020","Nov 17, 2020",16 days,3
Éder Militão,20/21,Knock,"Sep 16, 2020","Oct 16, 2020",31 days,6
