player_name,date_of_birth/age,height,position
Thibaut Courtois,May 11 1992 (32),200 m,Goalkeeper
Andriy Lunin,Feb 11 1999 (26),191 m,Goalkeeper
Éder Militão,Jan 18 1998 (27),186 m,Centre-Back
Antonio Rüdiger,Mar 3 1993 (31),190 m,Centre-Back
David Alaba,Jun 24 1992 (32),180 m,Centre-Back
Raúl Asencio,Feb 13 2003 (22),184 m,Centre-Back
Jesús Vallejo,Jan 5 1997 (28),184 m,Centre-Back
Ferland Mendy,Jun 8 1995 (29),180 m,Left-Back
Fran García,Aug 14 1999 (25),169 m,Left-Back
Daniel Carvajal,Jan 11 1992 (33),173 m,Right-Back
Lucas Vázquez,Jul 1 1991 (33),173 m,Right-Back
Aurélien Tchouaméni,Jan 27 2000 (25),188 m,Defensive Midfield
Federico Valverde,Jul 22 1998 (26),182 m,Central Midfield
Eduardo Camavinga,Nov 10 2002 (22),182 m,Central Midfield
Luka Modric,Sep 9 1985 (39),172 m,Central Midfield
Dani Ceballos,Aug 7 1996 (28),179 m,Central Midfield
Jude Bellingham,Jun 29 2003 (21),186 m,Attacking Midfield
Vinicius Junior,Jul 12 2000 (24),176 m,Left Winger
Rodrygo,Jan 9 2001 (24),174 m,Right Winger
Arda Güler,Feb 25 2005 (19),175 m,Right Winger
Brahim Díaz,Aug 3 1999 (25),170 m,Right Winger
Kylian Mbappé,Dec 20 1998 (26),178 m,Centre-Forward
Endrick,Jul 21 2006 (18),173 m,Centre-Forward
Marc-André ter Stegen,Apr 30 1992 (32),187 m,Goalkeeper
Iñaki Peña,Mar 2 1999 (25),184 m,Goalkeeper
Wojciech Szczesny,Apr 18 1990 (34),195 m,Goalkeeper
Pau Cubarsí,Jan 22 2007 (18),184 m,Centre-Back
Ronald Araujo,Mar 7 1999 (25),192 m,Centre-Back
Andreas Christensen,Apr 10 1996 (28),187 m,Centre-Back
Eric García,Jan 9 2001 (24),182 m,Centre-Back
Iñigo Martínez,May 17 1991 (33),182 m,Centre-Back
