player_name,minutes_played,season
Marc-André ter Stegen,765.0,24/25
Marc-André ter Stegen,3780.0,23/24
Marc-André ter Stegen,4818.0,22/23
Marc-André ter Stegen,5415.0,21/22
Marc-André ter Stegen,4170.0,20/21
Marc-André ter Stegen,4230.0,19/20
Marc-André ter Stegen,4635.0,18/19
Marc-André ter Stegen,4545.0,17/18
Marc-André ter Stegen,5085.0,16/17
Marc-André ter Stegen,2447.0,15/16
Marc-André ter Stegen,2430.0,14/15
Marc-André ter Stegen,3765.0,13/14
Marc-André ter Stegen,5025.0,12/13
,,
Iñaki Peña,372.0,22/23
Iñaki Peña,2520.0,21/22
Iñaki Peña,2400.0,20/21
Iñaki Peña,3885.0,19/20
Iñaki Peña,3600.0,18/19
Iñaki Peña,1305.0,17/18
Iñaki Peña,270.0,16/17
Iñaki Peña,640.0,15/16
Wojciech Szczesny,956.0,24/25
Wojciech Szczesny,3630.0,23/24
Wojciech Szczesny,5231.0,22/23
Wojciech Szczesny,4140.0,21/22
Wojciech Szczesny,4823.0,20/21
Wojciech Szczesny,4500.0,18/19
Wojciech Szczesny,2206.0,17/18
Wojciech Szczesny,3915.0,16/17
Wojciech Szczesny,4054.0,15/16
Wojciech Szczesny,3165.0,14/15
Wojciech Szczesny,4538.0,13/14
Wojciech Szczesny,3495.0,12/13
Pau Cubarsí,3032.0,24/25
Pau Cubarsí,4057.0,23/24
Pau Cubarsí,1812.0,22/23
Ronald Araujo,3282.0,23/24
Ronald Araujo,3139.0,22/23
Ronald Araujo,3712.0,21/22
Ronald Araujo,2881.0,20/21
Ronald Araujo,4228.0,19/20
Ronald Araujo,4405.0,18/19
Ronald Araujo,2077.0,17/18
Ronald Araujo,3169.0,16/17
Andreas Christensen,26.0,24/25
Andreas Christensen,3204.0,23/24
Andreas Christensen,3365.0,22/23
Andreas Christensen,3034.0,21/22
Andreas Christensen,4098.0,20/21
Andreas Christensen,2342.0,19/20
Andreas Christensen,4402.0,18/19
Andreas Christensen,3733.0,17/18
Andreas Christensen,4927.0,16/17
Andreas Christensen,4050.0,15/16
Andreas Christensen,2639.0,14/15
Andreas Christensen,4043.0,13/14
Andreas Christensen,1908.0,12/13
Eric García,3206.0,23/24
Eric García,2157.0,22/23
Eric García,3363.0,21/22
Eric García,2522.0,20/21
Eric García,2774.0,19/20
Eric García,2094.0,18/19
Eric García,3041.0,17/18
Iñigo Martínez,1623.0,23/24
Iñigo Martínez,1999.0,22/23
Iñigo Martínez,3449.0,20/21
Iñigo Martínez,3537.0,18/19
Iñigo Martínez,3126.0,17/18
Iñigo Martínez,3640.0,16/17
Iñigo Martínez,2790.0,15/16
Iñigo Martínez,4018.0,14/15
Iñigo Martínez,4527.0,13/14
Iñigo Martínez,3912.0,12/13
Alejandro Balde,3477.0,22/23
Alejandro Balde,2999.0,21/22
Alejandro Balde,1824.0,20/21
Alejandro Balde,905.0,19/20
Gerard Martín,7020.0,23/24
Gerard Martín,413.0,20/21
Gerard Martín,0.0,19/20
Jules Koundé,3549.0,24/25
Jules Koundé,4988.0,23/24
Jules Koundé,4136.0,22/23
Jules Koundé,4718.0,21/22
Jules Koundé,4906.0,20/21
Jules Koundé,4486.0,19/20
Jules Koundé,5480.0,18/19
