player_name,date_of_birth/age,height,position,current_age_x,minutes_played,season,injury,from_date,to_date,days_out,matches_missed,injury_year,current_age_y,age_at_injury
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,3292.0,24/25,Facial injury,2024-12-19,"Jan 3, 2025",16 days,1,2024.0,26,25
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,4240.0,23/24,,,,,,,,
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,5840.0,22/23,,,,,,,,
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,2430.0,21/22,Corona virus,2022-01-10,"Jan 14, 2022",5 days,-,2022.0,26,23
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,2430.0,21/22,Fitness,2021-07-14,"Aug 16, 2021",34 days,3,2021.0,26,22
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,7574.0,20/21,Corona virus,2020-10-26,"Oct 30, 2020",5 days,2,2020.0,26,21
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,4260.0,18/19,Hamstring muscle injury,2019-05-26,"Jun 30, 2019",36 days,3,2019.0,26,20
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,4260.0,18/19,strain,2019-04-03,"Apr 16, 2019",14 days,2,2019.0,26,20
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,5970.0,17/18,Adductor pain,2017-12-27,"Dec 29, 2017",3 days,1,2017.0,26,18
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,4395.0,16/17,,,,,,,,
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,2929.0,15/16,Head injury,2016-03-13,"Mar 14, 2016",2 days,1,2016.0,26,17
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper,26,2526.0,14/15,,,,,,,,
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper,26,1238.0,24/25,Virus,2024-08-31,"Sep 3, 2024",4 days,1,2024.0,26,25
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper,26,2970.0,23/24,Head injury,2023-11-26,"Nov 30, 2023",5 days,1,2023.0,26,24
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper,26,3420.0,22/23,Shoulder injury,2022-11-13,"Dec 26, 2022",44 days,3,2022.0,26,23
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper,26,2430.0,21/22,,,,,,,,
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper,26,3267.0,20/21,Tendon rupture,2020-12-08,"Mar 17, 2021",100 days,9,2020.0,26,21
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper,26,3267.0,20/21,Quarantine,2020-11-16,"Nov 30, 2020",15 days,3,2020.0,26,21
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper,26,4068.0,19/20,,,,,,,,
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper,26,3864.0,18/19,unknown injury,2018-10-06,"Oct 18, 2018",13 days,2,2018.0,26,19
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper,26,2970.0,17/18,,,,,,,,
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper,26,1864.0,16/17,,,,,,,,
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper,26,782.0,15/16,,,,,,,,
Arnau Tenas,May 30 2001 (23),185 m,Goalkeeper,23,90.0,24/25,,,,,,,,
Arnau Tenas,May 30 2001 (23),185 m,Goalkeeper,23,1008.0,23/24,,,,,,,,
Arnau Tenas,May 30 2001 (23),185 m,Goalkeeper,23,6195.0,22/23,,,,,,,,
Arnau Tenas,May 30 2001 (23),185 m,Goalkeeper,23,3600.0,21/22,Muscle injury,2022-04-08,"Apr 13, 2022",6 days,1,2022.0,23,20
Arnau Tenas,May 30 2001 (23),185 m,Goalkeeper,23,3600.0,21/22,Foot injury,2021-09-25,"Oct 28, 2021",34 days,6,2021.0,23,19
Arnau Tenas,May 30 2001 (23),185 m,Goalkeeper,23,1620.0,20/21,,,,,,,,
