player_name,season,injury,from_date,to_date,days_out,matches_missed
Gianluigi Donnarumma,24/25,Facial injury,"Dec 19, 2024","Jan 3, 2025",16 days,1
Gianluigi Donnarumma,21/22,Corona virus,"Jan 10, 2022","Jan 14, 2022",5 days,-
Gianluigi Donnarumma,21/22,Fitness,"Jul 14, 2021","Aug 16, 2021",34 days,3
Gianluigi Donnarumma,20/21,Corona virus,"Oct 26, 2020","Oct 30, 2020",5 days,2
Gianluigi Donnarumma,19/20,Ankle sprain,"Feb 22, 2020","Mar 9, 2020",17 days,2
Gianluigi Donnarumma,19/20,Contracture,"Jan 12, 2020","Jan 18, 2020",7 days,1
Gianluigi Donnarumma,19/20,stomach problems,"Oct 5, 2019","Oct 6, 2019",2 days,1
Gianluigi Donnarumma,18/19,Hamstring muscle injury,"May 26, 2019","Jun 30, 2019",36 days,3
Gianluigi Donnarumma,18/19,strain,"Apr 3, 2019","Apr 16, 2019",14 days,2
Gianluigi Donnarumma,17/18,Adductor pain,"Dec 27, 2017","Dec 29, 2017",3 days,1
Gianluigi Donnarumma,15/16,Head injury,"Mar 13, 2016","Mar 14, 2016",2 days,1
Matvey Safonov,24/25,Virus,"Aug 31, 2024","Sep 3, 2024",4 days,1
Matvey Safonov,23/24,Head injury,"Nov 26, 2023","Nov 30, 2023",5 days,1
Matvey Safonov,22/23,Shoulder injury,"Nov 13, 2022","Dec 26, 2022",44 days,3
Matvey Safonov,20/21,Tendon rupture,"Dec 8, 2020","Mar 17, 2021",100 days,9
Matvey Safonov,20/21,Quarantine,"Nov 16, 2020","Nov 30, 2020",15 days,3
Matvey Safonov,18/19,unknown injury,"Oct 6, 2018","Oct 18, 2018",13 days,2
Arnau Tenas,21/22,Muscle injury,"Apr 8, 2022","Apr 13, 2022",6 days,1
Arnau Tenas,21/22,Foot injury,"Sep 25, 2021","Oct 28, 2021",34 days,6
Willian Pacho,21/22,Fitness,"Feb 5, 2022","Feb 7, 2022",3 days,1
Willian Pacho,21/22,Shoulder injury,"Oct 4, 2021","Feb 4, 2022",124 days,11
Marquinhos,24/25,Adductor injury,"Jan 5, 2025","Jan 26, 2025",22 days,6
Marquinhos,23/24,Achilles tendon contusion,"Feb 18, 2024","Apr 4, 2024",47 days,10
Marquinhos,23/24,Hamstring injury,"Nov 23, 2023","Dec 3, 2023",11 days,3
Marquinhos,23/24,Adductor pain,"Oct 28, 2023","Nov 1, 2023",5 days,1
Marquinhos,22/23,Dead leg,"Feb 15, 2023","Feb 22, 2023",8 days,1
Marquinhos,22/23,Rest,"Nov 12, 2022","Nov 14, 2022",3 days,1
Marquinhos,21/22,Fitness,"Jul 12, 2021","Aug 16, 2021",36 days,3
Marquinhos,20/21,Adductor pain,"Apr 8, 2021","Apr 25, 2021",18 days,5
Marquinhos,20/21,Adductor pain,"Jan 23, 2021","Feb 5, 2021",14 days,2
Marquinhos,20/21,Hip problems,"Dec 10, 2020","Dec 17, 2020",8 days,2
Marquinhos,20/21,Adductor pain,"Nov 25, 2020","Dec 1, 2020",7 days,1
Marquinhos,20/21,Adductor pain,"Oct 14, 2020","Oct 18, 2020",5 days,1
Marquinhos,20/21,Corona virus,"Sep 2, 2020","Sep 16, 2020",15 days,3
Marquinhos,19/20,Hamstring strain,"Jan 23, 2020","Feb 13, 2020",22 days,6
Marquinhos,19/20,Groin problems,"Jan 13, 2020","Jan 20, 2020",8 days,2
Lucas Beraldo,22/23,Injury to the ankle,"Jun 29, 2023","Jul 19, 2023",21 days,5
Presnel Kimpembe,22/23,Achilles tendon rupture,"Feb 26, 2023","Nov 25, 2024",639 days,84
Presnel Kimpembe,22/23,Achilles tendon problems,"Nov 14, 2022","Feb 9, 2023",88 days,10
Presnel Kimpembe,22/23,Achilles tendon problems,"Nov 1, 2022","Nov 7, 2022",7 days,2
Presnel Kimpembe,22/23,Hamstring injury,"Sep 12, 2022","Oct 24, 2022",43 days,8
Presnel Kimpembe,22/23,Calf injury,"Aug 30, 2022","Sep 1, 2022",3 days,1
Presnel Kimpembe,21/22,Thigh problems,"Nov 4, 2021","Nov 15, 2021",12 days,1
Presnel Kimpembe,20/21,Rest,"Jan 21, 2021","Jan 25, 2021",5 days,1
Presnel Kimpembe,20/21,Muscle injury,"Dec 21, 2020","Jan 14, 2021",25 days,4
Presnel Kimpembe,20/21,Hairline crack in foot,"Nov 5, 2020","Nov 9, 2020",5 days,1
Presnel Kimpembe,19/20,Thigh problems,"Feb 10, 2020","Feb 17, 2020",8 days,2
Presnel Kimpembe,19/20,Hamstring injury,"Dec 5, 2019","Jan 13, 2020",40 days,8
Presnel Kimpembe,19/20,Fitness,"Aug 12, 2019","Aug 22, 2019",11 days,1
Presnel Kimpembe,18/19,Pubalgia,"May 23, 2019","Aug 12, 2019",82 days,6
Presnel Kimpembe,18/19,Hamstring injury,"May 20, 2019","Jul 1, 2019",43 days,4
Presnel Kimpembe,15/16,Ankle injury,"Oct 15, 2015","Nov 2, 2015",19 days,4
Nuno Mendes,22/23,Hamstring injury,"May 1, 2023","Feb 12, 2024",288 days,44
Nuno Mendes,22/23,Muscle injury,"Nov 29, 2022","Jan 16, 2023",49 days,8
Nuno Mendes,22/23,Muscle injury,"Nov 21, 2022","Nov 25, 2022",5 days,1
Nuno Mendes,22/23,Hamstring injury,"Oct 3, 2022","Oct 23, 2022",21 days,5
Nuno Mendes,21/22,Ankle injury,"Aug 2, 2021","Aug 19, 2021",18 days,2
Nuno Mendes,20/21,minor knock,"Jun 17, 2021","Jun 21, 2021",5 days,1
Nuno Mendes,20/21,Rest,"Feb 1, 2021","Feb 8, 2021",8 days,2
Nuno Mendes,20/21,Corona virus,"Jan 11, 2021","Jan 25, 2021",15 days,4
Nuno Mendes,20/21,Foot bruise,"Nov 30, 2020","Dec 10, 2020",11 days,1
