player_name,date_of_birth/age,height,position
Gianluigi Donnarumma,Feb 25 1999 (26),196 m,Goalkeeper
Matvey Safonov,Feb 25 1999 (26),192 m,Goalkeeper
Arnau Tenas,May 30 2001 (23),185 m,Goalkeeper
Willian Pacho,Oct 16 2001 (23),187 m,Centre-Back
Marquinhos,May 14 1994 (30),183 m,Centre-Back
Lucas Beraldo,Nov 24 2003 (21),182 m,Centre-Back
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back
El Hannach,Dec 7 2006 (18),183 m,Centre-Back
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back
Achraf Hakimi,Nov 4 1998 (26),181 m,Right-Back
Yoram Zague,May 15 2006 (18),168 m,Right-Back
João Neves,Sep 27 2004 (20),174 m,Defensive Midfield
Vitinha,Feb 13 2000 (25),172 m,Central Midfield
Warren Zaïre-Emery,Mar 8 2006 (19),178 m,Central Midfield
Fabián Ruiz,Apr 3 1996 (29),189 m,Central Midfield
Senny Mayulu,May 17 2006 (18),183 m,Central Midfield
Khvicha Kvaratskhelia,Feb 12 2001 (24),183 m,Left Winger
Bradley Barcola,Sep 2 2002 (22),182 m,Left Winger
Désiré Doué,Jun 3 2005 (19),181 m,Left Winger
Ousmane Dembélé,May 15 1997 (27),178 m,Right Winger
Kang-in Lee,Feb 19 2001 (24),174 m,Right Winger
Mbaye,Jan 24 2008 (17),,Right Winger
Gonçalo Ramos,Jun 20 2001 (23),185 m,Centre-Forward
Radoslaw Majecki,Nov 16 1999 (25),193 m,Goalkeeper
Philipp Köhn,Apr 2 1998 (27),190 m,Goalkeeper
Yann Lienard,Mar 16 2003 (22),194 m,Goalkeeper
Wilfried Singo,Dec 25 2000 (24),190 m,Centre-Back
Thilo Kehrer,Sep 21 1996 (28),186 m,Centre-Back
Mohammed Salisu,Apr 17 1999 (25),188 m,Centre-Back
Christian Mawissa,Apr 18 2005 (19),184 m,Centre-Back
Caio Henrique,Jul 31 1997 (27),178 m,Left-Back
Kassoum Ouattara,Oct 14 2004 (20),176 m,Left-Back
Vanderson,Jun 21 2001 (23),173 m,Right-Back
Jordan Teze,Sep 30 1999 (25),183 m,Right-Back
Denis Zakaria,Nov 20 1996 (28),190 m,Defensive Midfield
Soungoutou Magassa,Oct 8 2003 (21),190 m,Defensive Midfield
Moatasem Al-Musrati,Apr 6 1996 (28),189 m,Defensive Midfield
Lamine Camara,Jan 1 2004 (21),173 m,Central Midfield
Edan Diop,Aug 28 2004 (20),173 m,Central Midfield
Aleksandr Golovin,May 30 1996 (28),178 m,Attacking Midfield
Eliesse Ben Seghir,Feb 16 2005 (20),178 m,Left Winger
Takumi Minamino,Jan 16 1995 (30),172 m,Left Winger
Michal,Jun 22 2005 (19),,Left Winger
Maghnes Akliouche,Feb 25 2002 (23),183 m,Right Winger
Krépin Diatta,Feb 25 1999 (26),175 m,Right Winger
Mika Biereth,Feb 8 2003 (22),187 m,Centre-Forward
Folarin Balogun,Jul 3 2001 (23),178 m,Centre-Forward
George Ilenikhena,Aug 16 2006 (18),185 m,Centre-Forward
Breel Embolo,Feb 14 1997 (28),187 m,Centre-Forward
Marco Bizot,Mar 10 1991 (34),193 m,Goalkeeper
Grégoire Coudert,Apr 3 1999 (26),192 m,Goalkeeper
Noah Jauny,Aug 26 2004 (20),194 m,Goalkeeper
Soumaïla Coulibaly,Oct 14 2003 (21),191 m,Centre-Back
Brendan Chardonnet,Dec 22 1994 (30),181 m,Centre-Back
Abdoulaye Ndiaye,Apr 10 2002 (22),195 m,Centre-Back
Julien Le Cardinal,Aug 3 1997 (27),184 m,Centre-Back
Bradley Locko,May 6 2002 (22),180 m,Left-Back
Jordan Amavi,Mar 9 1994 (31),176 m,Left-Back
Massadio Haidara,Dec 2 1992 (32),179 m,Left-Back
Justin Bourgault,Sep 14 2005 (19),185 m,Left-Back
Luck Zogbé,Mar 24 2005 (20),178 m,Right-Back
Kenny Lala,Oct 3 1991 (33),178 m,Right-Back
Pierre Lees-Melou,May 25 1993 (31),185 m,Defensive Midfield
Edimilson Fernandes,Apr 15 1996 (28),187 m,Defensive Midfield
Jonas Martin,Apr 9 1990 (34),184 m,Defensive Midfield
Hamidou Makalou,Jul 15 2006 (18),164 m,Defensive Midfield
Mahdi Camara,Jun 30 1998 (26),178 m,Central Midfield
Hugo Magnetti,May 30 1998 (26),180 m,Central Midfield
Romain Faivre,Jul 14 1998 (26),180 m,Right Midfield
Kamory Doumbia,Feb 18 2003 (22),170 m,Attacking Midfield
Abdallah Sima,Jun 17 2001 (23),188 m,Left Winger
Ibrahim Salah,Aug 30 2001 (23),186 m,Left Winger
Mathias Pereira Lage,Nov 30 1996 (28),180 m,Left Winger
Romain Del Castillo,Mar 29 1996 (29),172 m,Right Winger
Mama Baldé,Nov 6 1995 (29),176 m,Centre-Forward
Ludovic Ajorque,Feb 25 1994 (31),196 m,Centre-Forward
Lucas Chevalier,Nov 6 2001 (23),189 m,Goalkeeper
Vito Mannone,Mar 2 1988 (37),188 m,Goalkeeper
Marc-Aurèle Caillard,May 12 1994 (30),192 m,Goalkeeper
Bafodé Diakité,Jan 6 2001 (24),184 m,Centre-Back
Alexsandro,Aug 9 1999 (25),191 m,Centre-Back
Samuel Umtiti,Nov 14 1993 (31),182 m,Centre-Back
Aïssa Mandi,Oct 22 1991 (33),186 m,Centre-Back
Gabriel Gudmundsson,Apr 29 1999 (25),180 m,Left-Back
Mitchel Bakker,Jun 20 2000 (24),189 m,Left-Back
Ismaily,Jan 11 1990 (35),177 m,Left-Back
Tiago Santos,Jul 23 2002 (22),175 m,Right-Back
Thomas Meunier,Sep 12 1991 (33),191 m,Right-Back
Ngal'ayel Mukau,Nov 3 2004 (20),186 m,Defensive Midfield
Nabil Bentaleb,Nov 24 1994 (30),187 m,Defensive Midfield
Benjamin André,Aug 3 1990 (34),180 m,Defensive Midfield
Ayyoub Bouaddi,Oct 2 2007 (17),186 m,Central Midfield
