player_name,minutes_played,season
Gianluigi Donnarumma,3292.0,24/25
Gianluigi Donnarumma,4240.0,23/24
Gianluigi Donnarumma,5840.0,22/23
Gianluigi Donnarumma,2430.0,21/22
Gianluigi Donnarumma,7574.0,20/21
,,
Gianluigi Donnarumma,4260.0,18/19
Gianluigi Donnarumma,5970.0,17/18
Gianluigi Donnarumma,4395.0,16/17
Gianluigi Donnarumma,2929.0,15/16
Gianluigi Donnarumma,2526.0,14/15
Matvey Safonov,1238.0,24/25
Matvey Safonov,2970.0,23/24
Matvey Safonov,3420.0,22/23
Matvey Safonov,2430.0,21/22
Matvey Safonov,3267.0,20/21
Matvey Safonov,4068.0,19/20
Matvey Safonov,3864.0,18/19
Matvey Safonov,2970.0,17/18
Matvey Safonov,1864.0,16/17
Matvey Safonov,782.0,15/16
Arnau Tenas,90.0,24/25
Arnau Tenas,1008.0,23/24
Arnau Tenas,6195.0,22/23
Arnau Tenas,3600.0,21/22
Arnau Tenas,1620.0,20/21
Arnau Tenas,1290.0,19/20
Arnau Tenas,1350.0,18/19
Willian Pacho,6549.0,23/24
Willian Pacho,5130.0,22/23
Willian Pacho,187.0,21/22
Willian Pacho,4870.0,20/21
Willian Pacho,2064.0,19/20
Willian Pacho,80.0,18/19
Marquinhos,4540.0,23/24
Marquinhos,3992.0,22/23
Marquinhos,4188.0,21/22
Marquinhos,5029.0,20/21
Marquinhos,3495.0,19/20
Marquinhos,5140.0,18/19
Marquinhos,3760.0,17/18
Marquinhos,3850.0,16/17
Marquinhos,5063.0,15/16
Marquinhos,3565.0,14/15
Lucas Beraldo,2111.0,23/24
Lucas Beraldo,6791.0,22/23
Lucas Beraldo,1625.0,21/22
Lucas Beraldo,1078.0,20/21
Presnel Kimpembe,67.0,24/25
Presnel Kimpembe,1146.0,22/23
Presnel Kimpembe,3635.0,21/22
Presnel Kimpembe,4782.0,20/21
Presnel Kimpembe,2334.0,19/20
Presnel Kimpembe,3456.0,18/19
Presnel Kimpembe,3378.0,17/18
Presnel Kimpembe,2745.0,16/17
Presnel Kimpembe,3792.0,15/16
Presnel Kimpembe,4365.0,14/15
El Hannach,2090.0,24/25
El Hannach,3046.0,23/24
El Hannach,1023.0,22/23
Nuno Mendes,3489.0,24/25
Nuno Mendes,1543.0,23/24
Nuno Mendes,2423.0,22/23
Nuno Mendes,2959.0,21/22
